l_l_m,l_l_n,u_r_m,u_r_n,avg_sal,sal_state
2.0,8.0,4.0,10.0,2119.936274509804,1.0
4.0,8.0,6.0,10.0,2475.752941176471,1.0
6.0,8.0,8.0,10.0,2143.829411764706,1.0
2.0,6.0,4.0,8.0,2175.737254901961,1.0
4.0,6.0,6.0,8.0,2329.290196078432,1.0
6.0,6.0,8.0,8.0,2018.680392156863,1.0
2.0,10.0,4.0,12.0,2160.082352941177,1.0
4.0,10.0,6.0,12.0,2455.547058823529,1.0
6.0,10.0,8.0,12.0,2072.0235294117647,1.0
2.0,12.0,4.0,14.0,2011.975490196079,1.0
4.0,12.0,6.0,14.0,2182.916666666667,1.0
6.0,12.0,8.0,14.0,2061.201960784314,1.0
2.0,14.0,4.0,16.0,2114.8166666666666,1.0
4.0,14.0,6.0,16.0,2347.692156862745,1.0
6.0,14.0,8.0,16.0,2107.438235294118,1.0
2.0,16.0,4.0,17.0,2064.701960784314,1.0
4.0,16.0,6.0,17.0,1633.3254901960786,1.0
6.0,16.0,8.0,17.0,1074.0294117647059,1.0
2.0,4.0,4.0,6.0,1499.4186274509805,2.0
4.0,5.0,5.0,6.0,2174.254901960784,2.0
5.0,5.0,7.0,6.0,2059.007843137255,2.0
7.0,5.0,8.0,6.0,1740.7137254901959,2.0
8.0,4.0,10.0,8.0,455.6642156862745,4.0
8.0,0.0,10.0,4.0,648.7137254901961,4.0
8.0,8.0,10.0,12.0,240.71764705882356,4.0
8.0,12.0,10.0,16.0,522.8446078431373,4.0
8.0,16.0,10.0,20.0,587.1338235294118,4.0
7.0,17.0,8.0,18.0,9.690196078431372,4.0
4.0,4.0,5.0,5.0,216.25333333333333,4.0
5.0,3.0,7.0,5.0,587.3078431372551,4.0
7.0,2.0,8.0,5.0,73.26928104575164,4.0
1.0,5.0,2.0,9.0,342.27745098039213,4.0
1.0,4.0,2.0,5.0,23.12156862745098,4.0
1.0,9.0,2.0,13.0,389.8049019607843,4.0
1.0,13.0,2.0,17.0,292.97254901960787,4.0
1.0,17.0,2.0,18.0,19.95686274509804,4.0
4.0,17.0,6.0,18.0,54.2921568627451,4.0
2.0,17.0,4.0,18.0,158.42941176470592,4.0
0.0,6.0,1.0,10.0,0.0,5.0
0.0,2.0,1.0,6.0,0.0,5.0
0.0,0.0,1.0,2.0,0.0,5.0
3.0,0.0,5.0,4.0,7.083333333333334,5.0
1.0,0.0,3.0,4.0,0.6519607843137255,5.0
5.0,0.0,7.0,3.0,0.0,5.0
7.0,0.0,8.0,2.0,1.2705882352941176,5.0
0.0,10.0,1.0,14.0,0.0,5.0
0.0,14.0,1.0,18.0,0.0,5.0
0.0,18.0,1.0,20.0,0.0,5.0
3.0,18.0,5.0,20.0,0.0,5.0
1.0,18.0,3.0,20.0,0.0,5.0
6.0,17.0,7.0,18.0,1.4521008403361344,5.0
5.0,18.0,7.0,20.0,0.0,5.0
7.0,18.0,8.0,20.0,0.0,5.0
