l_l_m,l_l_n,u_r_m,u_r_n,avg_sal,sal_state
7.0,3.0,8.0,7.0,988.3303921568628,2.0
7.0,9.0,8.0,11.0,749.0627450980393,2.0
5.0,19.0,7.0,20.0,1023.6843137254899,2.0
2.0,9.0,3.0,11.0,2153.103921568628,1.0
3.0,9.0,5.0,11.0,2282.835294117647,1.0
5.0,9.0,7.0,11.0,1936.4686274509804,1.0
2.0,7.0,3.0,9.0,1850.6607843137256,1.0
3.0,7.0,5.0,9.0,2291.35,1.0
5.0,7.0,7.0,9.0,1782.7137254901959,1.0
2.0,5.0,3.0,7.0,1908.613725490196,1.0
3.0,5.0,5.0,7.0,2415.3745098039217,1.0
5.0,5.0,7.0,7.0,2301.108823529412,1.0
2.0,3.0,3.0,5.0,1742.0764705882352,1.0
3.0,3.0,5.0,5.0,1845.0480392156867,1.0
5.0,3.0,7.0,5.0,1799.3764705882354,1.0
3.0,12.0,5.0,14.0,2294.7166666666667,1.0
2.0,12.0,3.0,14.0,2378.8705882352947,1.0
2.0,15.0,3.0,17.0,2437.954901960785,1.0
3.0,15.0,5.0,17.0,2547.739215686275,1.0
5.0,15.0,7.0,17.0,2453.1117647058827,1.0
3.0,19.0,5.0,20.0,1916.560784313726,1.0
2.0,19.0,3.0,20.0,2247.152941176471,1.0
1.0,3.0,2.0,7.0,930.6274509803923,2.0
1.0,2.0,2.0,3.0,398.6666666666666,2.0
3.0,2.0,5.0,3.0,391.1176470588235,2.0
2.0,2.0,3.0,3.0,1213.7803921568627,2.0
1.0,8.0,2.0,12.0,767.9019607843137,2.0
1.0,12.0,2.0,16.0,679.8598039215685,2.0
1.0,16.0,2.0,20.0,695.7588235294119,2.0
3.0,11.0,5.0,12.0,1972.7352941176468,2.0
2.0,11.0,3.0,12.0,2221.752941176471,2.0
7.0,12.0,8.0,16.0,714.9803921568626,2.0
7.0,16.0,8.0,17.0,688.1411764705882,2.0
5.0,11.0,7.0,15.0,1546.2019607843133,4.0
3.0,14.0,5.0,15.0,2047.670588235294,4.0
2.0,14.0,3.0,15.0,2088.694117647058,4.0
2.0,17.0,3.0,19.0,1736.9411764705883,4.0
3.0,17.0,5.0,19.0,1387.6931372549018,4.0
5.0,17.0,7.0,19.0,1062.4480392156863,4.0
7.0,17.0,8.0,18.0,47.1186274509804,4.0
0.0,6.0,1.0,10.0,240.4970588235294,5.0
0.0,2.0,1.0,6.0,45.85,5.0
0.0,0.0,1.0,2.0,0.0,5.0
3.0,0.0,5.0,2.0,26.429411764705893,5.0
1.0,0.0,3.0,2.0,260.45098039215685,5.0
1.0,7.0,2.0,8.0,5.08235294117647,5.0
5.0,0.0,7.0,3.0,11.188235294117646,5.0
7.0,0.0,8.0,3.0,1.3189542483660128,5.0
8.0,6.0,10.0,10.0,178.11617647058827,5.0
8.0,2.0,10.0,6.0,161.72843137254904,5.0
8.0,0.0,10.0,2.0,0.0,5.0
7.0,7.0,8.0,9.0,1.2705882352941176,5.0
0.0,10.0,1.0,14.0,141.21078431372547,5.0
0.0,14.0,1.0,18.0,15.725490196078429,5.0
0.0,18.0,1.0,20.0,0.0,5.0
8.0,10.0,10.0,14.0,20.814215686274512,5.0
8.0,14.0,10.0,18.0,0.0,5.0
8.0,18.0,10.0,20.0,0.0,5.0
7.0,18.0,8.0,20.0,1.2705882352941176,5.0
7.0,11.0,8.0,12.0,1.2705882352941176,5.0
