l_l_m,l_l_n,u_r_m,u_r_n,avg_sal,sal_state
1.0,16.0,2.0,17.0,474.93725490196084,2.0
2.0,1.0,4.0,3.0,2098.5117647058823,1.0
4.0,1.0,6.0,3.0,2313.9774509803924,1.0
6.0,1.0,8.0,3.0,2096.6558823529413,1.0
2.0,0.0,4.0,1.0,2249.688235294117,1.0
4.0,0.0,6.0,1.0,2506.7568627450987,1.0
6.0,0.0,8.0,1.0,2217.282352941176,1.0
4.0,8.0,6.0,10.0,2467.7696078431377,1.0
3.0,8.0,4.0,10.0,2542.268627450981,1.0
4.0,6.0,6.0,8.0,2253.344117647059,1.0
3.0,6.0,4.0,8.0,2192.843137254902,1.0
4.0,5.0,6.0,6.0,2176.249019607844,1.0
3.0,5.0,4.0,6.0,2445.9764705882353,1.0
5.0,11.0,7.0,13.0,2454.938235294118,1.0
2.0,14.0,4.0,16.0,2096.3264705882348,1.0
4.0,14.0,6.0,16.0,2413.094117647059,1.0
6.0,14.0,8.0,16.0,1831.4166666666665,1.0
2.0,16.0,4.0,18.0,1943.1343137254905,1.0
4.0,16.0,6.0,18.0,2328.0294117647063,1.0
6.0,16.0,8.0,18.0,2116.710784313725,1.0
2.0,18.0,4.0,20.0,2312.68137254902,1.0
4.0,18.0,6.0,20.0,2334.643137254902,1.0
6.0,18.0,8.0,20.0,1859.3519607843139,1.0
2.0,3.0,3.0,6.0,2011.466666666667,2.0
2.0,6.0,3.0,10.0,1675.5823529411764,2.0
2.0,10.0,3.0,14.0,1464.9627450980392,2.0
6.0,7.0,7.0,11.0,2313.161764705883,2.0
6.0,3.0,7.0,7.0,1654.8686274509805,2.0
7.0,4.0,8.0,7.0,1301.6771241830065,2.0
7.0,7.0,8.0,11.0,1893.808823529412,2.0
7.0,11.0,8.0,14.0,1960.7071895424842,2.0
4.0,3.0,6.0,5.0,1551.4343137254905,2.0
3.0,3.0,4.0,5.0,1881.7,2.0
3.0,10.0,5.0,12.0,2449.2137254901963,2.0
3.0,12.0,5.0,14.0,2159.7647058823527,2.0
5.0,10.0,6.0,11.0,2360.5333333333333,2.0
5.0,13.0,7.0,14.0,2129.621568627451,2.0
-0.0,1.0,1.0,4.0,407.03006535947713,4.0
1.0,2.0,2.0,6.0,609.9107843137255,4.0
1.0,1.0,2.0,2.0,570.7019607843138,4.0
1.0,6.0,2.0,10.0,378.1098039215686,4.0
1.0,10.0,2.0,14.0,437.0058823529412,4.0
1.0,14.0,2.0,16.0,426.7686274509804,4.0
8.0,4.0,10.0,8.0,54.8220588235294,5.0
8.0,0.0,10.0,4.0,9.926960784313724,5.0
8.0,8.0,10.0,12.0,138.81323529411765,5.0
8.0,12.0,10.0,16.0,164.3656862745098,5.0
8.0,16.0,10.0,20.0,100.44950980392157,5.0
7.0,3.0,8.0,4.0,1.2705882352941176,5.0
0.0,6.0,1.0,10.0,167.47745098039218,5.0
0.0,4.0,1.0,6.0,324.6509803921569,5.0
0.0,10.0,1.0,14.0,156.85490196078433,5.0
0.0,14.0,1.0,18.0,66.7892156862745,5.0
0.0,18.0,1.0,20.0,79.3921568627451,5.0
1.0,17.0,2.0,20.0,5.08235294117647,5.0
0.0,0.0,2.0,1.0,166.73921568627452,5.0
