l_l_m,l_l_n,u_r_m,u_r_n,avg_sal,sal_state
7.0,9.0,8.0,10.0,884.7647058823529,2.0
2.0,10.0,4.0,12.0,1901.2882352941174,1.0
4.0,10.0,6.0,12.0,2280.477450980392,1.0
6.0,10.0,8.0,12.0,2195.7186274509804,1.0
2.0,12.0,4.0,14.0,2200.2911764705887,1.0
4.0,12.0,6.0,14.0,2563.730392156863,1.0
6.0,12.0,8.0,14.0,2340.5294117647063,1.0
2.0,14.0,4.0,16.0,2204.3656862745097,1.0
4.0,14.0,6.0,16.0,2567.2617647058823,1.0
6.0,14.0,8.0,16.0,2345.3401960784313,1.0
2.0,16.0,4.0,18.0,1682.3617647058825,2.0
4.0,16.0,6.0,18.0,1935.094117647059,2.0
6.0,16.0,8.0,18.0,1935.2343137254904,2.0
4.0,19.0,5.0,20.0,560.4392156862745,2.0
5.0,18.0,7.0,20.0,1431.1656862745099,2.0
7.0,18.0,9.0,20.0,1670.393137254902,2.0
4.0,5.0,6.0,7.0,2567.556862745098,1.0
6.0,5.0,7.0,7.0,2137.7450980392155,1.0
1.0,0.0,2.0,4.0,755.3607843137254,2.0
2.0,6.0,3.0,10.0,1627.8215686274511,2.0
2.0,2.0,3.0,6.0,1992.9970588235294,2.0
2.0,1.0,3.0,2.0,1328.258823529412,2.0
3.0,5.0,4.0,9.0,2084.2725490196085,2.0
3.0,1.0,4.0,5.0,1843.4705882352946,2.0
4.0,3.0,6.0,5.0,2471.732352941177,2.0
6.0,3.0,7.0,5.0,2179.7509803921566,2.0
4.0,2.0,6.0,3.0,1694.4019607843136,2.0
6.0,2.0,7.0,3.0,1340.4313725490194,2.0
7.0,2.0,8.0,6.0,910.8049019607843,2.0
4.0,7.0,6.0,9.0,1466.8127450980396,2.0
6.0,7.0,7.0,8.0,1585.2862745098041,2.0
1.0,6.0,2.0,10.0,942.1,2.0
2.0,0.0,4.0,1.0,340.4705882352941,4.0
9.0,6.0,10.0,10.0,168.44313725490196,4.0
9.0,2.0,10.0,6.0,163.86764705882354,4.0
9.0,0.0,10.0,2.0,389.60196078431375,4.0
3.0,9.0,4.0,10.0,525.5372549019609,4.0
4.0,9.0,6.0,10.0,497.9882352941177,4.0
6.0,9.0,7.0,10.0,710.3568627450979,4.0
6.0,8.0,7.0,9.0,115.3014005602241,4.0
7.0,6.0,8.0,9.0,108.88137254901959,4.0
4.0,0.0,5.0,2.0,1068.8470588235296,4.0
5.0,0.0,7.0,2.0,1241.1627450980388,4.0
7.0,0.0,8.0,2.0,985.727450980392,4.0
8.0,9.0,9.0,13.0,428.22254901960787,4.0
8.0,5.0,9.0,9.0,466.1401960784314,4.0
8.0,1.0,9.0,5.0,480.42843137254897,4.0
8.0,0.0,9.0,1.0,1028.4235294117648,4.0
8.0,15.0,9.0,18.0,72.9822803195352,4.0
9.0,15.0,10.0,19.0,449.35294117647067,4.0
9.0,19.0,10.0,20.0,703.2588235294118,4.0
1.0,4.0,2.0,6.0,467.9901960784314,4.0
0.0,4.0,1.0,8.0,101.21764705882352,5.0
0.0,0.0,1.0,4.0,29.81372549019608,5.0
0.0,8.0,1.0,12.0,8.934313725490195,5.0
0.0,12.0,1.0,16.0,0.0,5.0
0.0,16.0,1.0,20.0,0.0,5.0
1.0,10.0,2.0,14.0,34.303921568627445,5.0
1.0,14.0,2.0,18.0,13.40686274509804,5.0
1.0,18.0,2.0,20.0,0.00980392156862745,5.0
2.0,18.0,4.0,20.0,57.27745098039217,5.0
4.0,18.0,5.0,19.0,2.032941176470588,5.0
9.0,10.0,10.0,14.0,46.01666666666666,5.0
9.0,14.0,10.0,15.0,63.69803921568627,5.0
8.0,13.0,9.0,15.0,1.1294117647058823,5.0
