l_l_m,l_l_n,u_r_m,u_r_n,avg_sal,sal_state
2.0,8.0,3.0,9.0,527.7254901960785,2.0
3.0,7.0,4.0,9.0,1966.6019607843134,1.0
4.0,7.0,6.0,9.0,2390.2186274509804,1.0
6.0,7.0,8.0,9.0,2380.6892156862746,1.0
3.0,5.0,4.0,7.0,1981.1431372549014,1.0
4.0,5.0,6.0,7.0,2501.322549019608,1.0
6.0,5.0,8.0,7.0,2407.7617647058823,1.0
3.0,4.0,4.0,5.0,1529.8313725490198,1.0
4.0,4.0,6.0,5.0,2168.7549019607845,1.0
6.0,4.0,8.0,5.0,2290.639215686275,1.0
7.0,0.0,8.0,4.0,1075.3950980392158,2.0
8.0,9.0,9.0,13.0,898.313725490196,2.0
8.0,5.0,9.0,9.0,960.0813725490196,2.0
8.0,1.0,9.0,5.0,1109.2352941176468,2.0
8.0,0.0,9.0,1.0,1145.6431372549018,2.0
4.0,9.0,6.0,10.0,1241.2392156862745,2.0
3.0,9.0,4.0,10.0,954.7764705882353,2.0
7.0,9.0,8.0,12.0,1367.637908496732,2.0
3.0,3.0,4.0,4.0,359.4156862745097,2.0
4.0,3.0,6.0,4.0,999.1196078431373,2.0
6.0,3.0,7.0,4.0,1762.6627450980393,2.0
6.0,9.0,7.0,11.0,1283.4588235294118,2.0
2.0,4.0,3.0,8.0,875.4205882352942,4.0
2.0,3.0,3.0,4.0,264.7764705882353,4.0
0.0,6.0,2.0,10.0,4.76078431372549,5.0
0.0,2.0,2.0,6.0,2.5519607843137253,5.0
0.0,0.0,2.0,2.0,0.0,5.0
3.0,0.0,5.0,3.0,18.718954248366014,5.0
2.0,0.0,3.0,3.0,0.0,5.0
2.0,9.0,3.0,10.0,3.388235294117647,5.0
5.0,0.0,7.0,3.0,246.50392156862748,5.0
9.0,6.0,10.0,10.0,205.7647058823529,5.0
9.0,2.0,10.0,6.0,304.92352941176466,5.0
9.0,0.0,10.0,2.0,614.7686274509804,5.0
3.0,10.0,5.0,14.0,163.7549019607843,5.0
1.0,10.0,3.0,14.0,13.515686274509804,5.0
0.0,10.0,1.0,14.0,0.0,5.0
3.0,14.0,5.0,18.0,0.0,5.0
1.0,14.0,3.0,18.0,0.0,5.0
0.0,14.0,1.0,18.0,0.0,5.0
3.0,18.0,5.0,20.0,0.0,5.0
1.0,18.0,3.0,20.0,0.0,5.0
0.0,18.0,1.0,20.0,0.0,5.0
5.0,10.0,6.0,12.0,542.4745098039217,5.0
5.0,12.0,6.0,14.0,0.0,5.0
5.0,14.0,6.0,16.0,0.0,5.0
5.0,16.0,6.0,18.0,0.0,5.0
5.0,18.0,6.0,20.0,0.0,5.0
6.0,11.0,7.0,15.0,65.45196078431373,5.0
6.0,15.0,7.0,19.0,0.0,5.0
6.0,19.0,7.0,20.0,0.0,5.0
7.0,12.0,8.0,16.0,22.718627450980396,5.0
7.0,16.0,8.0,20.0,14.235294117647062,5.0
8.0,13.0,9.0,17.0,0.2588235294117647,5.0
8.0,17.0,9.0,20.0,241.86666666666667,5.0
9.0,10.0,10.0,14.0,578.9372549019607,5.0
9.0,14.0,10.0,18.0,281.5911764705882,5.0
9.0,18.0,10.0,20.0,648.743137254902,5.0
