l_l_m,l_l_n,u_r_m,u_r_n,avg_sal,sal_state
3.0,0.0,4.0,2.0,2117.543137254902,1.0
4.0,0.0,6.0,2.0,2315.3686274509805,1.0
6.0,0.0,8.0,2.0,2347.576470588236,1.0
3.0,8.0,4.0,9.0,2462.964705882353,1.0
4.0,8.0,6.0,9.0,2436.958823529412,1.0
6.0,8.0,7.0,9.0,2349.450980392157,1.0
3.0,9.0,4.0,11.0,2459.047058823529,1.0
4.0,9.0,6.0,11.0,2539.8470588235296,1.0
6.0,9.0,7.0,11.0,2523.217647058824,1.0
3.0,11.0,4.0,12.0,2345.305882352941,1.0
4.0,11.0,6.0,12.0,2461.6823529411763,1.0
6.0,11.0,7.0,12.0,2457.168627450981,1.0
8.0,6.0,9.0,10.0,563.3235294117646,2.0
8.0,2.0,9.0,6.0,911.5303921568628,2.0
8.0,0.0,9.0,2.0,1031.127450980392,2.0
8.0,12.0,9.0,15.0,678.5032679738563,2.0
1.0,13.0,2.0,16.0,965.1176470588236,2.0
5.0,5.0,7.0,8.0,1308.9058823529413,2.0
7.0,2.0,8.0,6.0,1511.745098039216,2.0
7.0,6.0,8.0,10.0,1966.1794117647064,2.0
7.0,10.0,8.0,14.0,1770.8607843137256,2.0
7.0,14.0,8.0,15.0,693.7450980392157,2.0
3.0,12.0,4.0,15.0,1379.924183006536,2.0
4.0,12.0,6.0,14.0,1632.1637254901962,2.0
6.0,12.0,7.0,14.0,1657.758823529412,2.0
2.0,18.0,3.0,20.0,918.0980392156863,2.0
3.0,18.0,4.0,20.0,2299.5764705882348,1.0
4.0,18.0,6.0,20.0,2343.8176470588237,1.0
6.0,18.0,8.0,20.0,2206.687254901961,1.0
7.0,15.0,8.0,18.0,1591.0614379084964,2.0
8.0,15.0,9.0,19.0,1164.064705882353,2.0
8.0,19.0,9.0,20.0,1059.9882352941177,2.0
4.0,16.0,6.0,18.0,1195.600980392157,2.0
3.0,16.0,4.0,18.0,1010.3980392156864,2.0
6.0,17.0,7.0,18.0,1280.094117647059,2.0
2.0,0.0,3.0,4.0,1239.214705882353,4.0
3.0,2.0,4.0,4.0,1413.7215686274508,4.0
4.0,2.0,6.0,4.0,1414.704901960784,4.0
6.0,2.0,7.0,4.0,1435.2078431372547,4.0
2.0,6.0,3.0,9.0,1240.8522875816996,4.0
2.0,9.0,3.0,13.0,1531.3980392156861,4.0
2.0,13.0,3.0,16.0,1309.2614379084966,4.0
3.0,6.0,5.0,8.0,1474.2029411764706,4.0
1.0,12.0,2.0,13.0,335.8019607843137,4.0
0.0,4.0,1.0,8.0,440.92254901960786,5.0
0.0,0.0,1.0,4.0,83.19411764705882,5.0
0.0,8.0,1.0,12.0,155.3892156862745,5.0
0.0,12.0,1.0,16.0,462.9852941176471,5.0
0.0,16.0,1.0,20.0,238.71666666666667,5.0
1.0,8.0,2.0,12.0,601.8509803921569,5.0
1.0,4.0,2.0,8.0,727.6127450980392,5.0
1.0,0.0,2.0,4.0,10.835294117647056,5.0
3.0,4.0,5.0,6.0,266.336274509804,5.0
2.0,4.0,3.0,6.0,202.12549019607846,5.0
5.0,4.0,7.0,5.0,80.7686274509804,5.0
1.0,16.0,2.0,20.0,248.03235294117644,5.0
2.0,16.0,3.0,18.0,3.388235294117647,5.0
9.0,4.0,10.0,8.0,421.9294117647057,5.0
9.0,0.0,10.0,4.0,576.9509803921569,5.0
9.0,8.0,10.0,12.0,138.50588235294114,5.0
9.0,12.0,10.0,16.0,387.2274509803922,5.0
9.0,16.0,10.0,20.0,567.393137254902,5.0
8.0,10.0,9.0,12.0,1.1294117647058823,5.0
4.0,14.0,6.0,16.0,104.47941176470587,5.0
6.0,14.0,7.0,17.0,1.4521008403361344,5.0
3.0,15.0,4.0,16.0,2.541176470588235,5.0
