l_l_m,l_l_n,u_r_m,u_r_n,avg_sal,sal_state
3.0,14.0,4.0,16.0,1145.2372549019608,2.0
3.0,9.0,4.0,11.0,2373.3803921568633,1.0
4.0,9.0,6.0,11.0,2452.664705882353,1.0
6.0,9.0,8.0,11.0,2343.2264705882353,1.0
3.0,7.0,4.0,9.0,2470.8254901960786,1.0
4.0,7.0,6.0,9.0,2544.000980392157,1.0
6.0,7.0,8.0,9.0,2353.813725490196,1.0
4.0,14.0,6.0,16.0,2099.4098039215687,1.0
6.0,14.0,7.0,16.0,2176.1,1.0
7.0,4.0,9.0,6.0,993.3323529411763,2.0
4.0,11.0,6.0,12.0,1938.9117647058827,2.0
3.0,11.0,4.0,12.0,1469.2156862745096,2.0
7.0,11.0,9.0,15.0,1445.4107843137256,2.0
7.0,15.0,9.0,16.0,1370.6039215686276,2.0
4.0,13.0,6.0,14.0,1172.3333333333335,2.0
2.0,6.0,3.0,7.0,1229.756862745098,2.0
2.0,7.0,3.0,11.0,1176.2039215686275,2.0
2.0,11.0,3.0,12.0,618.1450980392158,2.0
3.0,6.0,4.0,7.0,2075.7137254901963,2.0
4.0,6.0,6.0,7.0,2279.686274509804,2.0
6.0,6.0,8.0,7.0,2295.639215686275,2.0
3.0,5.0,4.0,6.0,1424.0745098039215,2.0
4.0,5.0,6.0,6.0,1679.7294117647061,2.0
6.0,5.0,7.0,6.0,1990.850980392157,2.0
6.0,11.0,7.0,14.0,1801.1464052287579,2.0
3.0,17.0,5.0,19.0,1753.245098039216,2.0
3.0,19.0,5.0,20.0,1830.2196078431373,2.0
5.0,16.0,7.0,20.0,1895.0338235294118,2.0
3.0,0.0,4.0,2.0,2035.0509803921566,1.0
4.0,0.0,6.0,2.0,2561.5205882352943,1.0
6.0,0.0,7.0,2.0,2530.53137254902,1.0
7.0,0.0,9.0,4.0,1428.5137254901958,2.0
4.0,2.0,6.0,3.0,653.0411764705882,2.0
6.0,2.0,7.0,3.0,1614.5647058823527,2.0
7.0,16.0,9.0,20.0,1653.238725490196,2.0
2.0,13.0,3.0,17.0,267.04117647058825,4.0
2.0,17.0,3.0,19.0,259.91960784313716,4.0
3.0,13.0,4.0,14.0,71.98529411764707,4.0
3.0,16.0,5.0,17.0,653.8235294117646,4.0
1.0,4.0,3.0,6.0,523.2950980392156,4.0
3.0,4.0,4.0,5.0,635.7450980392158,4.0
4.0,4.0,6.0,5.0,386.6862745098039,4.0
6.0,4.0,7.0,5.0,471.521568627451,4.0
8.0,7.0,9.0,11.0,516.7764705882353,4.0
8.0,6.0,9.0,7.0,358.42352941176466,4.0
4.0,12.0,6.0,13.0,886.9843137254901,4.0
3.0,12.0,4.0,13.0,342.83529411764715,4.0
0.0,4.0,1.0,8.0,0.0,5.0
0.0,0.0,1.0,4.0,0.0,5.0
0.0,8.0,1.0,12.0,0.0,5.0
0.0,12.0,1.0,16.0,0.0,5.0
0.0,16.0,1.0,20.0,0.0,5.0
1.0,0.0,3.0,4.0,14.317647058823528,5.0
3.0,2.0,4.0,4.0,2.541176470588235,5.0
4.0,3.0,6.0,4.0,0.0,5.0
6.0,3.0,7.0,4.0,12.117647058823529,5.0
1.0,7.0,2.0,11.0,105.90196078431372,5.0
1.0,6.0,2.0,7.0,111.72549019607844,5.0
1.0,11.0,2.0,15.0,11.968627450980394,5.0
1.0,15.0,2.0,19.0,0.0,5.0
1.0,19.0,2.0,20.0,0.0,5.0
2.0,12.0,3.0,13.0,3.388235294117647,5.0
2.0,19.0,3.0,20.0,3.388235294117647,5.0
9.0,4.0,10.0,8.0,0.0,5.0
9.0,0.0,10.0,4.0,2.7009803921568625,5.0
9.0,8.0,10.0,12.0,96.97058823529413,5.0
9.0,12.0,10.0,16.0,306.56274509803916,5.0
9.0,16.0,10.0,20.0,168.6529411764706,5.0
