l_l_m,l_l_n,u_r_m,u_r_n,avg_sal,sal_state
1.0,7.0,2.0,8.0,386.30196078431374,2.0
2.0,6.0,4.0,8.0,2205.824509803921,1.0
4.0,6.0,6.0,8.0,2206.0039215686274,1.0
6.0,6.0,8.0,8.0,1716.4372549019608,1.0
2.0,5.0,4.0,6.0,1514.0725490196078,1.0
4.0,5.0,6.0,6.0,1228.580392156863,1.0
6.0,5.0,8.0,6.0,735.4666666666667,1.0
3.0,9.0,4.0,10.0,2546.886274509804,1.0
4.0,9.0,6.0,10.0,2505.745098039216,1.0
6.0,9.0,7.0,10.0,2389.2274509803924,1.0
3.0,10.0,4.0,12.0,2575.63137254902,1.0
4.0,10.0,6.0,12.0,2572.6911764705883,1.0
6.0,10.0,7.0,12.0,2517.341176470588,1.0
3.0,12.0,4.0,14.0,2558.056862745098,1.0
4.0,12.0,6.0,14.0,2516.746078431373,1.0
6.0,12.0,7.0,14.0,2386.472549019608,1.0
2.0,8.0,3.0,9.0,2177.078431372549,2.0
2.0,9.0,3.0,13.0,2355.079411764706,2.0
2.0,13.0,3.0,14.0,2353.298039215686,2.0
7.0,8.0,8.0,9.0,762.1490196078433,2.0
7.0,9.0,8.0,13.0,1163.1196078431371,2.0
7.0,13.0,8.0,14.0,1043.2470588235292,2.0
4.0,14.0,6.0,15.0,1006.1372549019608,2.0
3.0,14.0,4.0,15.0,1546.105882352941,2.0
1.0,14.0,3.0,16.0,758.5313725490196,2.0
3.0,8.0,4.0,9.0,1973.83137254902,2.0
4.0,8.0,6.0,9.0,1590.172549019608,2.0
6.0,8.0,7.0,9.0,1295.8705882352942,2.0
1.0,8.0,2.0,9.0,289.97254901960787,4.0
1.0,9.0,2.0,13.0,365.5823529411765,4.0
1.0,13.0,2.0,14.0,339.7019607843137,4.0
0.0,6.0,1.0,10.0,0.0,5.0
0.0,2.0,1.0,6.0,0.0,5.0
0.0,0.0,1.0,2.0,0.0,5.0
1.0,3.0,2.0,7.0,44.44803921568627,5.0
1.0,0.0,2.0,3.0,0.0,5.0
3.0,1.0,5.0,5.0,0.0,5.0
2.0,1.0,3.0,5.0,0.6431372549019607,5.0
3.0,0.0,5.0,1.0,0.0,5.0
2.0,0.0,3.0,1.0,0.0,5.0
5.0,1.0,7.0,5.0,0.0,5.0
7.0,1.0,8.0,5.0,0.0,5.0
5.0,0.0,7.0,1.0,0.0,5.0
7.0,0.0,8.0,1.0,0.0,5.0
8.0,6.0,10.0,10.0,0.3995098039215687,5.0
8.0,2.0,10.0,6.0,0.0,5.0
8.0,0.0,10.0,2.0,0.0,5.0
0.0,10.0,1.0,14.0,0.0,5.0
0.0,14.0,1.0,18.0,0.0,5.0
0.0,18.0,1.0,20.0,0.0,5.0
1.0,16.0,3.0,20.0,0.0,5.0
3.0,15.0,5.0,17.0,37.33627450980392,5.0
3.0,17.0,5.0,19.0,0.0,5.0
3.0,19.0,5.0,20.0,0.0,5.0
8.0,10.0,10.0,14.0,0.8946078431372549,5.0
8.0,14.0,10.0,18.0,0.0024509803921568627,5.0
8.0,18.0,10.0,20.0,0.0,5.0
5.0,15.0,6.0,17.0,18.480392156862745,5.0
5.0,17.0,6.0,19.0,0.0,5.0
5.0,19.0,6.0,20.0,0.0,5.0
6.0,14.0,8.0,18.0,111.65343137254902,5.0
6.0,18.0,8.0,20.0,0.0,5.0
