l_l_m,l_l_n,u_r_m,u_r_n,avg_sal,sal_state
2.0,1.0,4.0,4.0,1235.4071895424836,2.0
4.0,0.0,5.0,4.0,1655.886274509804,1.0
5.0,0.0,7.0,4.0,2052.525980392157,1.0
7.0,0.0,8.0,4.0,1749.093137254902,1.0
4.0,7.0,5.0,11.0,2388.0333333333333,1.0
5.0,7.0,7.0,11.0,2486.6911764705883,1.0
7.0,7.0,8.0,11.0,2218.06568627451,1.0
4.0,6.0,5.0,7.0,1560.2274509803922,1.0
5.0,6.0,7.0,7.0,2203.929411764706,1.0
7.0,6.0,8.0,7.0,2184.435294117648,1.0
3.0,15.0,4.0,16.0,1665.5607843137257,1.0
4.0,15.0,6.0,16.0,1858.4607843137253,1.0
6.0,15.0,8.0,16.0,1821.1196078431371,1.0
5.0,19.0,7.0,20.0,2166.2058823529414,1.0
8.0,4.0,9.0,8.0,1302.0960784313725,2.0
8.0,0.0,9.0,4.0,781.6137254901961,2.0
8.0,8.0,9.0,12.0,1327.4186274509802,2.0
8.0,12.0,9.0,16.0,1131.3225490196078,2.0
8.0,16.0,9.0,20.0,1222.3578431372548,2.0
2.0,18.0,3.0,20.0,201.15490196078431,2.0
2.0,15.0,3.0,17.0,257.1921568627451,2.0
3.0,6.0,4.0,7.0,1076.7647058823527,2.0
3.0,7.0,4.0,11.0,1213.1872549019608,2.0
3.0,11.0,4.0,12.0,285.4705882352941,2.0
6.0,11.0,7.0,13.0,1408.3705882352942,2.0
3.0,16.0,4.0,18.0,1344.2529411764706,4.0
4.0,16.0,6.0,18.0,1415.5529411764705,4.0
6.0,16.0,8.0,18.0,1398.0901960784313,4.0
3.0,18.0,4.0,20.0,1311.8588235294114,4.0
4.0,18.0,6.0,20.0,1067.5598039215686,4.0
6.0,18.0,8.0,20.0,1473.3852941176474,4.0
2.0,17.0,3.0,18.0,50.57385620915034,4.0
2.0,7.0,3.0,11.0,251.58431372549026,4.0
2.0,4.0,3.0,7.0,535.0065359477125,4.0
3.0,4.0,4.0,6.0,814.9745098039217,4.0
4.0,4.0,6.0,6.0,953.948039215686,4.0
6.0,4.0,8.0,6.0,1527.5745098039215,4.0
7.0,11.0,8.0,15.0,1226.701960784314,4.0
3.0,14.0,4.0,15.0,34.682352941176475,4.0
4.0,14.0,6.0,15.0,193.37254901960785,4.0
6.0,14.0,7.0,15.0,418.47843137254915,4.0
9.0,3.0,10.0,7.0,267.4990196078432,4.0
9.0,7.0,10.0,11.0,349.6441176470588,4.0
9.0,11.0,10.0,15.0,251.0705882352941,4.0
4.0,11.0,5.0,12.0,199.99686274509804,4.0
5.0,11.0,6.0,13.0,919.4607843137256,4.0
9.0,16.0,10.0,20.0,397.3264705882354,4.0
0.0,4.0,2.0,8.0,16.972058823529412,5.0
0.0,0.0,2.0,4.0,34.03970588235294,5.0
0.0,8.0,2.0,12.0,0.0,5.0
0.0,12.0,2.0,16.0,0.0,5.0
0.0,16.0,2.0,20.0,0.0,5.0
2.0,0.0,4.0,1.0,94.04705882352941,5.0
2.0,11.0,3.0,15.0,11.878431372549018,5.0
3.0,12.0,5.0,14.0,1.674509803921569,5.0
5.0,13.0,7.0,14.0,9.658823529411764,5.0
9.0,0.0,10.0,3.0,1.016470588235294,5.0
9.0,15.0,10.0,16.0,1.016470588235294,5.0
