l_l_m,l_l_n,u_r_m,u_r_n,avg_sal,sal_state
3.0,9.0,4.0,11.0,2474.835294117647,1.0
4.0,9.0,6.0,11.0,2536.8068627450984,1.0
6.0,9.0,8.0,11.0,2284.444117647059,1.0
3.0,7.0,4.0,9.0,2440.156862745098,1.0
4.0,7.0,6.0,9.0,2448.8852941176474,1.0
6.0,7.0,8.0,9.0,2239.8892156862744,1.0
3.0,5.0,4.0,7.0,2182.303921568628,1.0
4.0,5.0,6.0,7.0,2341.328431372549,1.0
6.0,5.0,8.0,7.0,2395.1274509803925,1.0
3.0,12.0,4.0,14.0,2534.754901960784,1.0
4.0,12.0,6.0,14.0,2500.109803921569,1.0
6.0,12.0,7.0,14.0,2355.81568627451,1.0
3.0,14.0,4.0,15.0,2449.639215686275,1.0
4.0,14.0,6.0,15.0,2515.396078431373,1.0
6.0,14.0,7.0,15.0,2398.654901960785,1.0
3.0,18.0,4.0,20.0,2415.4745098039216,1.0
4.0,18.0,6.0,20.0,2495.8215686274507,1.0
6.0,18.0,7.0,20.0,2369.249019607844,1.0
2.0,6.0,3.0,10.0,1575.8313725490198,2.0
2.0,4.0,3.0,6.0,891.2862745098039,2.0
2.0,10.0,3.0,14.0,1921.558823529412,2.0
2.0,14.0,3.0,18.0,1931.3598039215685,2.0
2.0,18.0,3.0,20.0,1554.035294117647,2.0
3.0,4.0,4.0,5.0,1781.3176470588235,2.0
4.0,4.0,6.0,5.0,1850.33137254902,2.0
6.0,4.0,8.0,5.0,2038.1235294117648,2.0
3.0,11.0,4.0,12.0,2242.6392156862744,2.0
4.0,11.0,6.0,12.0,2163.1352941176465,2.0
6.0,11.0,7.0,12.0,2243.286274509804,2.0
7.0,11.0,8.0,15.0,1724.843137254902,2.0
7.0,15.0,8.0,17.0,1510.1470588235293,2.0
3.0,15.0,4.0,17.0,2424.7313725490194,2.0
4.0,15.0,6.0,17.0,2332.048039215687,2.0
6.0,15.0,7.0,17.0,2169.333333333333,2.0
3.0,17.0,4.0,18.0,2419.019607843137,2.0
4.0,17.0,6.0,18.0,2317.0333333333333,2.0
6.0,17.0,7.0,18.0,2106.517647058823,2.0
3.0,0.0,4.0,2.0,2477.8627450980393,1.0
4.0,0.0,6.0,2.0,2431.186274509804,1.0
6.0,0.0,7.0,2.0,2246.6784313725493,1.0
5.0,3.0,7.0,4.0,2314.774509803921,1.0
7.0,3.0,8.0,4.0,2416.262745098039,1.0
2.0,0.0,3.0,4.0,1278.394117647059,2.0
3.0,2.0,5.0,4.0,2100.166666666667,2.0
5.0,2.0,7.0,3.0,2184.917647058824,2.0
7.0,1.0,8.0,3.0,2053.345098039216,2.0
1.0,10.0,2.0,14.0,168.61960784313723,4.0
1.0,14.0,2.0,18.0,318.2421568627451,4.0
1.0,18.0,2.0,20.0,344.25686274509803,4.0
7.0,0.0,8.0,1.0,92.90686274509804,4.0
8.0,8.0,9.0,12.0,119.78431372549021,4.0
8.0,4.0,9.0,8.0,199.7578431372549,4.0
8.0,0.0,9.0,4.0,201.6833333333333,4.0
8.0,13.0,9.0,17.0,47.18627450980392,4.0
8.0,17.0,9.0,20.0,142.02745098039216,4.0
7.0,17.0,8.0,20.0,92.37434640522876,4.0
1.0,0.0,2.0,4.0,248.02450980392155,4.0
0.0,4.0,1.0,8.0,0.0,5.0
0.0,0.0,1.0,4.0,0.9362745098039216,5.0
0.0,8.0,1.0,12.0,0.0,5.0
0.0,12.0,1.0,16.0,7.562745098039215,5.0
0.0,16.0,1.0,20.0,3.4480392156862747,5.0
1.0,6.0,2.0,10.0,19.20686274509804,5.0
1.0,4.0,2.0,6.0,0.5607843137254902,5.0
9.0,4.0,10.0,8.0,0.0,5.0
9.0,0.0,10.0,4.0,0.0,5.0
9.0,8.0,10.0,12.0,0.0,5.0
9.0,12.0,10.0,16.0,0.0,5.0
9.0,16.0,10.0,20.0,0.0,5.0
8.0,12.0,9.0,13.0,1.1294117647058823,5.0
