l_l_m,l_l_n,u_r_m,u_r_n,avg_sal,sal_state
2.0,0.0,4.0,1.0,2090.1843137254905,1.0
4.0,0.0,6.0,1.0,2182.407843137255,1.0
6.0,0.0,8.0,1.0,2204.4156862745103,1.0
5.0,5.0,7.0,7.0,2535.6637254901957,1.0
8.0,0.0,9.0,2.0,743.2137254901961,2.0
6.0,10.0,8.0,11.0,1344.2019607843135,2.0
8.0,10.0,9.0,11.0,1359.964705882353,2.0
3.0,5.0,5.0,9.0,2112.8049019607847,2.0
2.0,5.0,3.0,9.0,1399.7441176470588,2.0
3.0,1.0,5.0,5.0,2207.5573529411768,2.0
2.0,1.0,3.0,5.0,1567.8352941176474,2.0
7.0,6.0,8.0,10.0,1934.095098039216,2.0
7.0,2.0,8.0,6.0,1871.533333333333,2.0
7.0,1.0,8.0,2.0,1874.1411764705888,2.0
5.0,7.0,7.0,10.0,2081.701960784314,2.0
5.0,1.0,7.0,5.0,2277.9857843137256,2.0
2.0,15.0,4.0,17.0,1736.5303921568627,1.0
4.0,15.0,6.0,17.0,1851.7039215686277,1.0
6.0,15.0,8.0,17.0,1553.7745098039215,1.0
2.0,17.0,4.0,19.0,2291.3901960784315,1.0
4.0,17.0,6.0,19.0,2532.9931372549013,1.0
6.0,17.0,8.0,19.0,2201.0901960784313,1.0
2.0,19.0,4.0,20.0,2247.4470588235295,1.0
4.0,19.0,6.0,20.0,2532.325490196079,1.0
6.0,19.0,8.0,20.0,2255.6725490196077,1.0
8.0,6.0,9.0,10.0,644.3294117647057,4.0
8.0,2.0,9.0,6.0,552.2921568627452,4.0
9.0,9.0,10.0,13.0,456.3009803921568,4.0
9.0,13.0,10.0,17.0,615.3411764705883,4.0
9.0,17.0,10.0,20.0,517.9777777777778,4.0
6.0,11.0,7.0,12.0,3.69467787114846,4.0
8.0,11.0,9.0,15.0,1050.6774509803922,4.0
8.0,15.0,9.0,19.0,119.39117647058822,4.0
8.0,19.0,9.0,20.0,478.2196078431373,4.0
7.0,11.0,8.0,15.0,523.4980392156862,4.0
3.0,9.0,5.0,11.0,936.6696078431373,4.0
2.0,9.0,3.0,11.0,946.0039215686273,4.0
5.0,10.0,6.0,11.0,138.43071895424836,4.0
2.0,11.0,4.0,12.0,74.89803921568628,4.0
1.0,5.0,2.0,9.0,190.02352941176468,4.0
1.0,1.0,2.0,5.0,303.89215686274514,4.0
1.0,0.0,2.0,1.0,239.17254901960786,4.0
1.0,9.0,2.0,11.0,45.73464052287582,4.0
0.0,4.0,1.0,8.0,0.0,5.0
0.0,0.0,1.0,4.0,0.0,5.0
0.0,8.0,1.0,12.0,0.0,5.0
0.0,12.0,1.0,16.0,0.0,5.0
0.0,16.0,1.0,20.0,0.0,5.0
1.0,11.0,2.0,15.0,2.2823529411764705,5.0
1.0,15.0,2.0,19.0,33.20882352941176,5.0
1.0,19.0,2.0,20.0,25.890196078431373,5.0
2.0,12.0,3.0,14.0,0.0,5.0
3.0,12.0,5.0,14.0,0.0,5.0
5.0,12.0,7.0,14.0,0.0,5.0
2.0,14.0,3.0,15.0,0.0,5.0
3.0,14.0,5.0,15.0,0.0,5.0
5.0,14.0,7.0,15.0,0.0,5.0
4.0,11.0,6.0,12.0,13.319607843137256,5.0
9.0,5.0,10.0,9.0,170.54215686274514,5.0
9.0,1.0,10.0,5.0,165.58235294117648,5.0
9.0,0.0,10.0,1.0,381.6313725490196,5.0
