l_l_m,l_l_n,u_r_m,u_r_n,avg_sal,sal_state
4.0,0.0,5.0,2.0,1920.2529411764706,1.0
5.0,0.0,7.0,2.0,2110.145098039216,1.0
7.0,0.0,8.0,2.0,2130.7254901960787,1.0
2.0,5.0,6.0,9.0,2108.049754901961,1.0
6.0,5.0,7.0,9.0,2390.902941176471,1.0
2.0,9.0,6.0,13.0,2221.6357843137257,1.0
6.0,9.0,7.0,13.0,2306.4666666666667,1.0
2.0,13.0,6.0,17.0,2185.4392156862746,1.0
6.0,13.0,7.0,17.0,2065.379411764706,1.0
1.0,6.0,2.0,9.0,432.437908496732,2.0
1.0,9.0,2.0,15.0,549.3313725490196,2.0
1.0,15.0,2.0,18.0,726.597385620915,2.0
2.0,4.0,3.0,5.0,1143.356862745098,2.0
7.0,2.0,8.0,6.0,1690.0627450980392,2.0
7.0,6.0,8.0,12.0,1439.166666666667,2.0
7.0,12.0,8.0,17.0,1009.8556862745096,2.0
8.0,0.0,9.0,6.0,1358.018300653595,2.0
2.0,18.0,3.0,19.0,1046.1098039215685,2.0
3.0,18.0,7.0,20.0,1972.85,1.0
7.0,18.0,8.0,20.0,1911.4313725490197,1.0
8.0,16.0,9.0,20.0,1041.4088235294116,2.0
3.0,17.0,7.0,18.0,1439.0558823529416,2.0
7.0,17.0,8.0,18.0,1512.2705882352939,2.0
2.0,17.0,3.0,18.0,1136.1549019607844,2.0
3.0,0.0,4.0,2.0,282.4014705882353,4.0
1.0,2.0,2.0,6.0,136.04705882352943,4.0
3.0,2.0,7.0,5.0,1251.0833333333333,4.0
2.0,2.0,3.0,4.0,122.43660130718956,4.0
9.0,3.0,10.0,6.0,290.49411764705883,4.0
9.0,6.0,10.0,14.0,194.52205882352942,4.0
9.0,14.0,10.0,17.0,409.25751633986926,4.0
8.0,6.0,9.0,8.0,608.5058823529413,4.0
8.0,8.0,9.0,14.0,494.5771241830066,4.0
8.0,14.0,9.0,16.0,637.6705882352943,4.0
0.0,0.0,1.0,6.0,0.0,5.0
0.0,6.0,1.0,14.0,0.8617647058823529,5.0
0.0,14.0,1.0,20.0,0.0,5.0
1.0,0.0,3.0,2.0,5.738235294117647,5.0
1.0,18.0,2.0,20.0,5.08235294117647,5.0
2.0,19.0,3.0,20.0,3.388235294117647,5.0
9.0,17.0,10.0,20.0,1.016470588235294,5.0
9.0,0.0,10.0,3.0,1.016470588235294,5.0
