l_l_m,l_l_n,u_r_m,u_r_n,avg_sal,sal_state
6.0,1.0,8.0,3.0,2165.1411764705886,1.0
4.0,4.0,5.0,6.0,1890.8843137254898,1.0
5.0,4.0,7.0,6.0,2331.396078431373,1.0
7.0,4.0,8.0,6.0,2126.88431372549,1.0
2.0,9.0,4.0,15.0,1697.4807189542485,1.0
4.0,9.0,5.0,15.0,2152.460784313726,1.0
5.0,9.0,7.0,15.0,2317.7186274509804,1.0
7.0,9.0,8.0,15.0,1969.4601307189544,1.0
4.0,15.0,5.0,19.0,1936.8823529411764,1.0
5.0,15.0,7.0,19.0,2136.219607843137,1.0
7.0,15.0,8.0,19.0,1987.6245098039215,1.0
8.0,13.0,9.0,19.0,907.9163398692813,2.0
8.0,19.0,9.0,20.0,1298.513725490196,2.0
3.0,19.0,7.0,20.0,1771.6950980392153,2.0
7.0,19.0,8.0,20.0,1932.3882352941175,2.0
2.0,15.0,4.0,19.0,1248.5127450980392,2.0
4.0,0.0,6.0,4.0,1646.325980392157,2.0
8.0,4.0,9.0,10.0,1095.7509803921566,2.0
8.0,0.0,9.0,4.0,1208.792156862745,2.0
2.0,8.0,4.0,9.0,1295.7823529411764,2.0
3.0,3.0,4.0,7.0,975.5137254901961,2.0
6.0,3.0,8.0,4.0,2057.050980392157,2.0
4.0,6.0,5.0,9.0,1281.2797385620916,2.0
5.0,6.0,7.0,9.0,1662.3398692810458,2.0
7.0,6.0,8.0,9.0,1949.4039215686275,2.0
6.0,0.0,8.0,1.0,1843.0882352941173,2.0
9.0,0.0,10.0,6.0,358.6359477124184,4.0
9.0,6.0,10.0,14.0,318.43480392156863,4.0
9.0,14.0,10.0,20.0,258.9725490196078,4.0
8.0,10.0,9.0,13.0,53.561801016702965,4.0
1.0,0.0,2.0,1.0,63.890196078431366,4.0
3.0,0.0,4.0,3.0,192.3,4.0
3.0,7.0,4.0,8.0,232.68725490196084,4.0
2.0,2.0,3.0,8.0,491.0503267973857,4.0
2.0,0.0,3.0,2.0,251.46274509803916,4.0
1.0,12.0,2.0,18.0,243.80261437908496,4.0
1.0,18.0,2.0,20.0,241.78235294117644,4.0
2.0,19.0,3.0,20.0,195.61699346405229,4.0
0.0,2.0,1.0,10.0,0.0,5.0
0.0,0.0,1.0,2.0,0.0,5.0
1.0,4.0,2.0,10.0,6.35032679738562,5.0
1.0,1.0,2.0,4.0,3.2718954248366017,5.0
0.0,10.0,1.0,18.0,0.3475490196078432,5.0
0.0,18.0,1.0,20.0,0.1411764705882353,5.0
1.0,10.0,2.0,12.0,5.08235294117647,5.0
