l_l_m,l_l_n,u_r_m,u_r_n,avg_sal,sal_state
3.0,8.0,7.0,9.0,2487.9500000000007,1.0
7.0,8.0,8.0,9.0,1906.458823529412,1.0
2.0,11.0,3.0,15.0,2059.4264705882347,1.0
3.0,11.0,7.0,15.0,2491.315686274509,1.0
7.0,11.0,8.0,15.0,1682.970588235294,1.0
2.0,15.0,3.0,16.0,1716.1294117647062,1.0
3.0,15.0,7.0,16.0,2338.0911764705884,1.0
7.0,15.0,8.0,16.0,1985.556862745098,1.0
3.0,18.0,7.0,20.0,2489.6416666666664,1.0
7.0,18.0,8.0,20.0,2204.9745098039216,1.0
2.0,5.0,3.0,11.0,1599.4477124183004,2.0
2.0,0.0,3.0,5.0,1165.0517647058825,2.0
3.0,4.0,7.0,8.0,2384.490441176471,2.0
7.0,4.0,8.0,8.0,2019.0568627450973,2.0
3.0,0.0,7.0,4.0,2316.4000000000005,2.0
7.0,0.0,8.0,4.0,2154.310784313726,2.0
3.0,9.0,7.0,11.0,2323.8803921568633,2.0
7.0,9.0,8.0,11.0,1742.9333333333334,2.0
4.0,16.0,5.0,18.0,2032.6176470588239,2.0
5.0,16.0,7.0,18.0,2246.438235294118,2.0
7.0,16.0,8.0,18.0,2107.911764705882,2.0
2.0,17.0,3.0,20.0,1229.9058823529413,2.0
3.0,17.0,4.0,18.0,2344.63137254902,2.0
8.0,1.0,9.0,7.0,282.3614379084967,4.0
8.0,0.0,9.0,1.0,280.70588235294116,4.0
8.0,7.0,9.0,13.0,120.67320261437908,4.0
8.0,13.0,9.0,19.0,131.54313725490195,4.0
8.0,19.0,9.0,20.0,252.35294117647058,4.0
2.0,16.0,4.0,17.0,566.8745098039217,4.0
1.0,16.0,2.0,17.0,32.66274509803921,4.0
1.0,0.0,2.0,5.0,100.05725490196077,4.0
1.0,5.0,2.0,11.0,87.62549019607843,4.0
1.0,11.0,2.0,16.0,88.25333333333334,4.0
0.0,0.0,1.0,6.0,0.0,5.0
0.0,6.0,1.0,14.0,0.0,5.0
0.0,14.0,1.0,20.0,0.0,5.0
1.0,17.0,2.0,20.0,5.08235294117647,5.0
9.0,0.0,10.0,6.0,1.1830065359477124,5.0
9.0,6.0,10.0,14.0,0.0,5.0
9.0,14.0,10.0,20.0,0.0,5.0
