l_l_m,l_l_n,u_r_m,u_r_n,avg_sal,sal_state
2.0,5.0,3.0,6.0,1760.243137254902,1.0
4.0,6.0,5.0,7.0,1751.443137254902,1.0
5.0,6.0,7.0,7.0,1941.372549019608,1.0
7.0,6.0,8.0,7.0,2082.886274509804,1.0
4.0,7.0,5.0,13.0,2239.95751633987,1.0
5.0,7.0,7.0,13.0,2465.089215686275,1.0
7.0,7.0,8.0,13.0,1948.491503267974,1.0
4.0,13.0,5.0,14.0,1394.188235294118,1.0
5.0,13.0,7.0,14.0,1845.9274509803922,1.0
7.0,13.0,8.0,14.0,2073.9529411764706,1.0
7.0,15.0,8.0,16.0,2024.5529411764705,1.0
7.0,3.0,8.0,6.0,1608.3960784313724,2.0
2.0,6.0,4.0,7.0,1429.762745098039,2.0
2.0,7.0,4.0,13.0,1816.6431372549027,2.0
2.0,13.0,4.0,14.0,1160.7176470588233,2.0
2.0,4.0,3.0,5.0,1286.321568627451,2.0
3.0,4.0,7.0,6.0,1924.9730392156866,2.0
5.0,14.0,7.0,15.0,1575.2960784313723,2.0
7.0,14.0,8.0,15.0,1890.6901960784314,2.0
4.0,16.0,5.0,17.0,1251.2823529411762,2.0
5.0,16.0,7.0,17.0,1339.4901960784316,2.0
7.0,16.0,8.0,17.0,1629.6352941176472,2.0
2.0,15.0,6.0,16.0,1435.4127450980388,2.0
6.0,15.0,7.0,16.0,1675.764705882353,2.0
9.0,0.0,10.0,6.0,529.4718954248367,4.0
9.0,6.0,10.0,14.0,193.1921568627451,4.0
9.0,14.0,10.0,20.0,561.5,4.0
2.0,16.0,4.0,18.0,1046.0833333333333,4.0
4.0,17.0,7.0,18.0,519.2168067226892,4.0
7.0,17.0,8.0,19.0,81.78970588235293,4.0
8.0,2.0,9.0,8.0,616.2241830065359,4.0
8.0,8.0,9.0,14.0,561.7535947712419,4.0
8.0,14.0,9.0,20.0,754.5993464052286,4.0
2.0,3.0,6.0,4.0,899.4950980392157,4.0
6.0,3.0,7.0,4.0,1098.0941176470587,4.0
3.0,14.0,5.0,15.0,1212.9,4.0
2.0,14.0,3.0,15.0,837.9607843137254,4.0
0.0,4.0,2.0,10.0,80.00718954248366,5.0
0.0,0.0,2.0,4.0,0.0,5.0
3.0,0.0,5.0,3.0,1.4019607843137256,5.0
2.0,0.0,3.0,3.0,0.08366013071895424,5.0
5.0,0.0,7.0,3.0,5.752941176470588,5.0
7.0,0.0,8.0,3.0,13.262745098039215,5.0
8.0,0.0,9.0,2.0,1.1294117647058823,5.0
0.0,10.0,2.0,16.0,45.56307189542483,5.0
0.0,16.0,2.0,20.0,1.4480392156862747,5.0
3.0,18.0,5.0,20.0,17.470588235294116,5.0
2.0,18.0,3.0,20.0,13.531372549019608,5.0
5.0,18.0,7.0,20.0,17.470588235294116,5.0
7.0,19.0,8.0,20.0,1.2705882352941176,5.0
