l_l_m,l_l_n,u_r_m,u_r_n,avg_sal,sal_state
2.0,11.0,3.0,12.0,570.6235294117647,2.0
3.0,0.0,7.0,4.0,2352.555392156863,1.0
7.0,0.0,8.0,4.0,2313.6156862745097,1.0
3.0,9.0,7.0,13.0,2337.277696078432,1.0
2.0,1.0,3.0,7.0,1079.2418300653596,2.0
2.0,0.0,3.0,1.0,1239.294117647059,2.0
3.0,5.0,7.0,9.0,2307.8455882352937,2.0
3.0,4.0,7.0,5.0,2332.9000000000005,2.0
7.0,4.0,8.0,6.0,2309.127450980392,2.0
7.0,6.0,8.0,12.0,2257.866666666667,2.0
7.0,12.0,8.0,14.0,2219.5392156862745,2.0
4.0,13.0,7.0,14.0,1890.532026143791,2.0
3.0,14.0,7.0,15.0,2384.0147058823527,1.0
7.0,14.0,8.0,15.0,1910.5372549019608,1.0
2.0,16.0,3.0,18.0,2001.2529411764706,1.0
3.0,16.0,7.0,18.0,2554.975000000001,1.0
7.0,16.0,8.0,18.0,1840.1098039215685,1.0
5.0,19.0,7.0,20.0,2372.072549019608,1.0
7.0,19.0,8.0,20.0,2139.286274509804,1.0
2.0,14.0,3.0,16.0,1341.6313725490195,2.0
3.0,15.0,7.0,16.0,1959.716666666667,2.0
7.0,15.0,8.0,16.0,1989.8549019607847,2.0
3.0,18.0,5.0,20.0,2146.0843137254906,2.0
2.0,18.0,3.0,20.0,1440.9117647058827,2.0
5.0,18.0,7.0,19.0,2187.780392156863,2.0
7.0,18.0,8.0,19.0,1971.113725490196,2.0
8.0,1.0,9.0,7.0,194.6993464052288,4.0
8.0,0.0,9.0,1.0,140.3764705882353,4.0
8.0,7.0,9.0,13.0,311.09281045751635,4.0
8.0,13.0,9.0,19.0,139.6483660130719,4.0
8.0,19.0,9.0,20.0,127.14901960784313,4.0
2.0,7.0,3.0,11.0,140.24117647058821,4.0
2.0,12.0,3.0,13.0,124.28496732026144,4.0
1.0,13.0,2.0,19.0,39.177124183006526,4.0
2.0,13.0,4.0,14.0,517.8372549019607,4.0
0.0,0.0,1.0,6.0,0.0,5.0
0.0,6.0,1.0,14.0,0.0,5.0
0.0,14.0,1.0,20.0,0.0,5.0
1.0,7.0,2.0,13.0,11.4718954248366,5.0
1.0,1.0,2.0,7.0,8.068627450980392,5.0
1.0,0.0,2.0,1.0,14.278431372549019,5.0
1.0,19.0,2.0,20.0,5.08235294117647,5.0
9.0,0.0,10.0,6.0,0.0,5.0
9.0,6.0,10.0,14.0,0.0,5.0
9.0,14.0,10.0,20.0,0.0,5.0
