l_l_m,l_l_n,u_r_m,u_r_n,avg_sal,sal_state
3.0,0.0,7.0,3.0,2287.2120915032683,1.0
4.0,5.0,7.0,6.0,2304.607843137255,1.0
4.0,9.0,7.0,10.0,2360.067973856209,1.0
3.0,11.0,7.0,13.0,2282.7029411764706,1.0
3.0,15.0,7.0,19.0,2320.180882352941,1.0
7.0,15.0,8.0,19.0,2307.3696078431376,1.0
2.0,15.0,3.0,20.0,1015.758431372549,2.0
3.0,19.0,7.0,20.0,1916.3872549019611,2.0
7.0,19.0,8.0,20.0,2202.164705882353,2.0
8.0,18.0,9.0,20.0,440.00196078431367,2.0
2.0,0.0,3.0,4.0,817.6029411764708,2.0
7.0,0.0,8.0,4.0,2254.0901960784313,2.0
7.0,4.0,8.0,10.0,2210.5196078431377,2.0
7.0,10.0,8.0,15.0,2268.0705882352945,2.0
8.0,2.0,9.0,6.0,843.8127450980393,2.0
8.0,6.0,9.0,12.0,985.4607843137256,2.0
8.0,12.0,9.0,17.0,679.1905882352943,2.0
3.0,13.0,7.0,15.0,1624.7651960784315,2.0
3.0,8.0,4.0,11.0,1656.2169934640524,2.0
3.0,3.0,4.0,7.0,1591.806862745098,2.0
4.0,3.0,7.0,5.0,2117.3359477124177,2.0
4.0,6.0,7.0,9.0,1784.3847494553374,2.0
4.0,10.0,7.0,11.0,2150.572549019608,2.0
2.0,4.0,3.0,6.0,379.9784313725489,4.0
2.0,6.0,3.0,12.0,231.12614379084968,4.0
2.0,12.0,3.0,15.0,265.70588235294116,4.0
3.0,7.0,4.0,8.0,154.40882352941176,4.0
0.0,1.0,2.0,7.0,1.057843137254902,5.0
0.0,0.0,2.0,1.0,1.549019607843137,5.0
0.0,7.0,2.0,13.0,0.0,5.0
0.0,13.0,2.0,19.0,1.4666666666666668,5.0
0.0,19.0,2.0,20.0,1.5843137254901962,5.0
8.0,0.0,9.0,2.0,1.1294117647058823,5.0
9.0,0.0,10.0,6.0,10.590196078431372,5.0
9.0,6.0,10.0,14.0,26.711764705882352,5.0
9.0,14.0,10.0,20.0,0.0,5.0
8.0,17.0,9.0,18.0,1.1294117647058823,5.0
