l_l_m,l_l_n,u_r_m,u_r_n,avg_sal,sal_state
2.0,8.0,4.0,9.0,1828.080392156863,1.0
2.0,9.0,4.0,15.0,2157.8464052287586,1.0
2.0,15.0,4.0,16.0,793.3313725490194,1.0
5.0,8.0,7.0,9.0,660.3862745098038,1.0
5.0,9.0,7.0,15.0,1657.5823529411764,1.0
5.0,15.0,7.0,16.0,737.3450980392157,1.0
4.0,8.0,5.0,9.0,918.2274509803923,1.0
4.0,9.0,5.0,13.0,2377.83137254902,1.0
4.0,13.0,5.0,15.0,1722.5098039215686,1.0
1.0,5.0,2.0,8.0,1095.891503267974,2.0
1.0,8.0,2.0,14.0,1337.5640522875815,2.0
1.0,14.0,2.0,18.0,1170.4745098039216,2.0
2.0,6.0,3.0,8.0,919.5549019607843,2.0
3.0,7.0,4.0,8.0,417.3450980392157,2.0
2.0,16.0,3.0,17.0,298.9411764705883,2.0
0.0,8.0,1.0,16.0,286.9843137254902,2.0
0.0,16.0,1.0,17.0,277.02745098039213,2.0
7.0,3.0,9.0,9.0,1254.8499999999995,2.0
7.0,0.0,9.0,3.0,1291.7039215686275,2.0
9.0,0.0,10.0,7.0,592.8778711484592,2.0
4.0,2.0,5.0,6.0,811.0009803921569,2.0
4.0,1.0,5.0,2.0,344.4862745098038,2.0
5.0,2.0,7.0,8.0,1323.3339869281047,2.0
5.0,1.0,7.0,2.0,816.4764705882353,2.0
9.0,16.0,10.0,20.0,623.8676470588234,2.0
7.0,10.0,8.0,15.0,686.1941176470588,2.0
5.0,16.0,6.0,18.0,643.9333333333333,2.0
6.0,16.0,8.0,20.0,880.3485294117647,2.0
8.0,16.0,9.0,20.0,1320.799019607843,2.0
7.0,15.0,9.0,16.0,633.8372549019607,2.0
9.0,7.0,10.0,15.0,389.7406862745098,4.0
9.0,15.0,10.0,16.0,472.80392156862746,4.0
7.0,9.0,8.0,10.0,125.75147058823528,4.0
8.0,9.0,9.0,15.0,807.0045751633984,4.0
0.0,0.0,1.0,8.0,275.5313725490196,5.0
2.0,0.0,4.0,6.0,239.48235294117646,5.0
4.0,6.0,5.0,8.0,2.032941176470588,5.0
3.0,6.0,4.0,7.0,2.541176470588235,5.0
4.0,0.0,7.0,1.0,4.356302521008403,5.0
1.0,0.0,2.0,5.0,5.08235294117647,5.0
4.0,15.0,5.0,18.0,2.032941176470588,5.0
-0.0,17.0,1.0,20.0,10.16470588235294,5.0
4.0,18.0,6.0,20.0,77.27843137254902,5.0
2.0,18.0,4.0,20.0,4.091176470588235,5.0
1.0,18.0,2.0,20.0,127.8,5.0
2.0,17.0,3.0,18.0,3.388235294117647,5.0
3.0,16.0,4.0,18.0,2.541176470588235,5.0
