l_l_m,l_l_n,u_r_m,u_r_n,avg_sal,sal_state
1.0,10.0,2.0,13.0,651.3830065359477,2.0
4.0,3.0,7.0,7.0,2466.414379084968,1.0
4.0,2.0,7.0,3.0,2289.184313725491,1.0
2.0,8.0,3.0,12.0,2008.2823529411767,1.0
3.0,8.0,7.0,12.0,2141.685294117648,1.0
7.0,8.0,8.0,12.0,1290.8029411764705,1.0
2.0,12.0,3.0,16.0,2090.745098039216,1.0
3.0,12.0,7.0,16.0,2355.395343137255,1.0
7.0,12.0,8.0,16.0,1188.6813725490194,1.0
2.0,16.0,3.0,20.0,1767.922549019608,1.0
3.0,16.0,7.0,20.0,2310.5311274509813,1.0
7.0,16.0,8.0,20.0,1786.0754901960786,1.0
4.0,0.0,7.0,2.0,1806.388888888889,2.0
7.0,1.0,8.0,7.0,2069.7542483660127,2.0
7.0,0.0,8.0,1.0,1814.9372549019608,2.0
8.0,7.0,9.0,9.0,827.7686274509804,2.0
2.0,6.0,3.0,8.0,1060.5764705882352,2.0
3.0,2.0,4.0,8.0,1823.3699346405228,2.0
4.0,7.0,5.0,8.0,1972.1607843137253,2.0
5.0,7.0,7.0,8.0,2164.2745098039213,2.0
7.0,7.0,8.0,8.0,2146.600000000001,2.0
1.0,4.0,2.0,10.0,96.30588235294115,4.0
1.0,0.0,2.0,4.0,79.88627450980391,4.0
2.0,0.0,3.0,6.0,640.6901960784314,4.0
3.0,0.0,4.0,2.0,190.73725490196082,4.0
8.0,0.0,10.0,7.0,343.0535014005601,4.0
1.0,13.0,2.0,19.0,308.5169934640523,4.0
1.0,19.0,2.0,20.0,104.078431372549,4.0
8.0,14.0,9.0,20.0,192.33725490196082,4.0
9.0,19.0,10.0,20.0,8.98,4.0
0.0,0.0,1.0,6.0,0.0,5.0
0.0,6.0,1.0,14.0,1.3965686274509803,5.0
0.0,14.0,1.0,20.0,4.936601307189542,5.0
9.0,7.0,10.0,9.0,61.01568627450981,5.0
9.0,9.0,10.0,17.0,0.05098039215686274,5.0
9.0,17.0,10.0,19.0,7.358823529411764,5.0
8.0,9.0,9.0,14.0,1.1294117647058823,5.0
