l_l_m,l_l_n,u_r_m,u_r_n,avg_sal,sal_state
3.0,7.0,8.0,13.0,2387.7241830065364,1.0
3.0,16.0,7.0,20.0,2279.835294117647,1.0
7.0,5.0,9.0,7.0,698.6421568627452,2.0
3.0,6.0,7.0,7.0,1097.1254901960783,2.0
2.0,7.0,3.0,19.0,1600.9866013071896,2.0
3.0,13.0,7.0,16.0,1976.6990196078439,2.0
7.0,13.0,8.0,17.0,1922.8647058823526,2.0
2.0,0.0,6.0,2.0,1530.8715686274509,2.0
1.0,0.0,2.0,2.0,1068.256862745098,2.0
7.0,0.0,9.0,2.0,1256.9960784313726,2.0
6.0,0.0,7.0,1.0,1701.8745098039215,2.0
8.0,7.0,9.0,19.0,374.240522875817,4.0
8.0,19.0,9.0,20.0,553.7411764705881,4.0
9.0,13.0,10.0,20.0,10.572100840336134,4.0
7.0,17.0,8.0,20.0,134.91601307189543,4.0
1.0,6.0,2.0,7.0,15.898039215686277,4.0
1.0,7.0,2.0,19.0,264.4937908496732,4.0
1.0,19.0,2.0,20.0,544.0627450980393,4.0
2.0,6.0,3.0,7.0,224.15816993464054,4.0
2.0,19.0,3.0,20.0,319.3830065359477,4.0
-0.0,15.0,1.0,20.0,99.40470588235294,4.0
9.0,0.0,10.0,4.0,11.411470588235295,4.0
8.0,4.0,9.0,5.0,1.1664488017429189,4.0
6.0,1.0,7.0,3.0,69.34565826330534,4.0
7.0,2.0,9.0,4.0,165.57385620915036,4.0
0.0,0.0,1.0,3.0,140.17777777777778,4.0
1.0,2.0,4.0,3.0,568.7980392156862,4.0
1.0,3.0,3.0,4.0,215.88758169934644,4.0
4.0,2.0,6.0,3.0,3.388235294117647,5.0
7.0,4.0,8.0,5.0,1.2705882352941176,5.0
-0.0,3.0,1.0,15.0,10.16470588235294,5.0
1.0,4.0,3.0,6.0,6.776470588235294,5.0
3.0,3.0,7.0,6.0,5.808403361344537,5.0
9.0,4.0,10.0,13.0,1.0164705882352942,5.0
