l_l_m,l_l_n,u_r_m,u_r_n,avg_sal,sal_state
1.0,0.0,2.0,1.0,572.3843137254901,2.0
1.0,16.0,2.0,20.0,639.0598039215686,2.0
8.0,17.0,9.0,18.0,292.25882352941176,2.0
2.0,0.0,7.0,3.0,2062.969934640523,1.0
5.0,5.0,7.0,6.0,2287.421568627451,1.0
2.0,8.0,8.0,16.0,2021.7665032679745,1.0
2.0,16.0,8.0,20.0,2074.614869281046,1.0
7.0,0.0,8.0,8.0,1994.286764705883,2.0
8.0,0.0,9.0,2.0,731.9490196078433,2.0
8.0,2.0,9.0,14.0,1031.6444444444444,2.0
8.0,14.0,9.0,16.0,542.7882352941176,2.0
3.0,3.0,5.0,8.0,1341.0611764705886,2.0
5.0,3.0,7.0,5.0,2019.83137254902,2.0
5.0,6.0,7.0,8.0,1799.5588235294117,2.0
1.0,1.0,2.0,6.0,249.23921568627446,4.0
2.0,3.0,3.0,8.0,117.73202614379083,4.0
1.0,7.0,2.0,16.0,250.01851851851848,4.0
-0.0,2.0,1.0,3.0,320.52156862745096,4.0
9.0,0.0,10.0,8.0,30.780294117647053,4.0
8.0,18.0,9.0,20.0,56.83725490196079,4.0
0.0,3.0,1.0,4.0,280.29411764705884,5.0
0.0,4.0,1.0,18.0,112.83865546218487,5.0
0.0,18.0,1.0,20.0,319.77843137254905,5.0
1.0,6.0,2.0,7.0,5.08235294117647,5.0
9.0,8.0,10.0,20.0,1.016470588235294,5.0
8.0,16.0,9.0,17.0,1.1294117647058823,5.0
0.0,0.0,1.0,2.0,10.16470588235294,5.0
