l_l_m,l_l_n,u_r_m,u_r_n,avg_sal,sal_state
2.0,3.0,8.0,5.0,2378.8715686274513,1.0
3.0,10.0,6.0,12.0,2574.667320261438,1.0
3.0,16.0,7.0,19.0,2534.324836601307,1.0
2.0,0.0,8.0,3.0,2208.943572984749,2.0
2.0,5.0,3.0,6.0,1540.5137254901958,2.0
2.0,6.0,3.0,18.0,1779.0287581699347,2.0
2.0,18.0,3.0,20.0,1865.8607843137256,2.0
7.0,5.0,8.0,6.0,1963.5647058823527,2.0
7.0,6.0,8.0,18.0,1848.0490196078435,2.0
7.0,18.0,8.0,20.0,1439.3823529411764,2.0
3.0,12.0,6.0,16.0,2334.825163398693,2.0
3.0,5.0,6.0,10.0,2279.928104575164,2.0
6.0,5.0,7.0,15.0,2381.217254901961,2.0
6.0,15.0,7.0,16.0,2353.803921568627,2.0
3.0,19.0,7.0,20.0,1908.1843137254905,2.0
8.0,3.0,9.0,5.0,45.476470588235294,4.0
8.0,5.0,9.0,17.0,97.50196078431372,4.0
8.0,17.0,9.0,20.0,70.84444444444446,4.0
0.0,0.0,2.0,4.0,16.721568627450978,5.0
0.0,4.0,2.0,16.0,21.73921568627451,5.0
0.0,16.0,2.0,20.0,52.87156862745098,5.0
8.0,0.0,9.0,3.0,1.1294117647058823,5.0
9.0,0.0,10.0,3.0,0.0,5.0
9.0,3.0,10.0,17.0,0.0,5.0
9.0,17.0,10.0,20.0,0.0,5.0
