l_l_m,l_l_n,u_r_m,u_r_n,avg_sal,sal_state
3.0,7.0,7.0,12.0,2253.1911764705883,1.0
4.0,15.0,7.0,20.0,2258.5181699346413,1.0
3.0,0.0,4.0,3.0,1050.9006535947713,2.0
8.0,0.0,9.0,3.0,1181.526797385621,2.0
8.0,3.0,9.0,15.0,1133.2513071895426,2.0
8.0,15.0,9.0,18.0,886.2156862745098,2.0
8.0,19.0,9.0,20.0,917.9098039215686,2.0
3.0,12.0,6.0,13.0,1314.9437908496734,2.0
6.0,12.0,7.0,15.0,1221.864052287582,2.0
5.0,6.0,7.0,7.0,733.1725490196077,2.0
4.0,0.0,6.0,4.0,1272.6936274509806,2.0
6.0,0.0,7.0,5.0,1349.0117647058826,2.0
7.0,0.0,8.0,4.0,1731.3107843137257,2.0
7.0,4.0,8.0,16.0,1792.5617647058825,2.0
7.0,16.0,8.0,20.0,2100.2627450980394,2.0
3.0,15.0,4.0,20.0,1472.2470588235294,2.0
2.0,16.0,3.0,17.0,856.4196078431372,2.0
4.0,5.0,7.0,6.0,75.6560224089636,4.0
3.0,13.0,6.0,14.0,134.00392156862745,4.0
2.0,6.0,3.0,14.0,120.11911764705879,4.0
3.0,6.0,5.0,7.0,172.36941176470592,4.0
9.0,5.0,10.0,19.0,198.57394957983192,4.0
9.0,19.0,10.0,20.0,279.5647058823529,4.0
8.0,18.0,9.0,19.0,108.40566448801745,4.0
2.0,14.0,3.0,16.0,206.36862745098045,4.0
3.0,14.0,6.0,15.0,317.5346405228758,4.0
2.0,17.0,3.0,20.0,285.9045751633987,4.0
9.0,0.0,10.0,4.0,23.38019607843137,4.0
2.0,0.0,3.0,2.0,193.1457516339869,4.0
0.0,0.0,2.0,4.0,0.00980392156862745,5.0
0.0,4.0,2.0,16.0,1.1875816993464052,5.0
0.0,16.0,2.0,20.0,2.644607843137255,5.0
2.0,2.0,3.0,6.0,3.388235294117647,5.0
3.0,3.0,4.0,6.0,2.541176470588235,5.0
4.0,4.0,6.0,5.0,3.388235294117647,5.0
9.0,4.0,10.0,5.0,1.016470588235294,5.0
