l_l_m,l_l_n,u_r_m,u_r_n,avg_sal,sal_state
4.0,1.0,8.0,5.0,2017.0781862745096,1.0
2.0,7.0,3.0,8.0,1755.0509803921564,1.0
3.0,7.0,7.0,14.0,1987.6515406162466,1.0
3.0,0.0,8.0,1.0,1163.865882352941,2.0
8.0,0.0,10.0,3.0,901.678431372549,2.0
8.0,3.0,10.0,17.0,807.0023809523808,2.0
8.0,17.0,10.0,20.0,991.1098039215686,2.0
4.0,14.0,6.0,16.0,842.769607843137,2.0
6.0,14.0,7.0,17.0,1330.9856209150325,2.0
2.0,8.0,3.0,15.0,1344.4403361344534,2.0
1.0,6.0,2.0,15.0,647.7185185185185,2.0
2.0,6.0,3.0,7.0,760.5490196078433,2.0
2.0,4.0,3.0,6.0,523.3607843137255,2.0
2.0,1.0,3.0,4.0,871.7294117647058,2.0
3.0,1.0,4.0,7.0,1208.678431372549,2.0
7.0,5.0,8.0,6.0,1757.9568627450979,2.0
7.0,6.0,8.0,18.0,1472.6202614379085,2.0
7.0,18.0,8.0,20.0,930.7941176470587,2.0
4.0,5.0,7.0,7.0,1246.3333333333333,2.0
4.0,16.0,6.0,17.0,90.66601307189542,4.0
3.0,19.0,5.0,20.0,96.16313725490197,4.0
5.0,17.0,7.0,20.0,88.46965452847807,4.0
0.0,0.0,1.0,10.0,10.16470588235294,5.0
1.0,0.0,2.0,6.0,5.08235294117647,5.0
2.0,0.0,3.0,1.0,3.388235294117647,5.0
-0.0,10.0,1.0,20.0,10.16470588235294,5.0
1.0,15.0,3.0,20.0,6.776470588235294,5.0
3.0,14.0,4.0,19.0,2.541176470588235,5.0
4.0,17.0,5.0,19.0,2.032941176470588,5.0
