l_l_m,l_l_n,u_r_m,u_r_n,avg_sal,sal_state
1.0,17.0,2.0,18.0,750.6313725490196,2.0
2.0,11.0,3.0,18.0,2021.373109243697,1.0
3.0,11.0,7.0,19.0,2253.470098039216,1.0
7.0,11.0,8.0,20.0,1365.2692810457515,2.0
2.0,19.0,7.0,20.0,1486.9419607843133,2.0
3.0,2.0,7.0,7.0,2180.5437254901967,1.0
1.0,0.0,2.0,11.0,1174.6670231729054,2.0
2.0,0.0,3.0,10.0,1863.5992156862744,2.0
3.0,1.0,5.0,2.0,1194.5470588235296,2.0
3.0,7.0,4.0,9.0,1496.5176470588235,2.0
4.0,7.0,7.0,8.0,1054.632679738562,2.0
2.0,10.0,6.0,11.0,1302.3058823529414,2.0
3.0,0.0,4.0,1.0,1028.4392156862746,4.0
4.0,0.0,8.0,1.0,933.2009803921567,4.0
8.0,0.0,9.0,1.0,212.12941176470588,4.0
3.0,9.0,4.0,10.0,169.59509803921569,4.0
4.0,8.0,6.0,10.0,191.01568627450985,4.0
6.0,8.0,7.0,11.0,102.37366946778714,4.0
5.0,1.0,7.0,2.0,228.43977591036406,4.0
7.0,1.0,8.0,11.0,58.48647058823529,4.0
8.0,11.0,9.0,20.0,46.66710239651416,4.0
9.0,16.0,10.0,20.0,7.0964705882352925,4.0
1.0,11.0,2.0,17.0,299.4111111111111,4.0
0.0,0.0,1.0,10.0,139.29176470588234,4.0
9.0,0.0,10.0,1.0,0.0,5.0
9.0,1.0,10.0,15.0,5.3960784313725485,5.0
9.0,15.0,10.0,16.0,55.780392156862746,5.0
8.0,1.0,9.0,11.0,1.1294117647058823,5.0
-0.0,10.0,1.0,20.0,10.16470588235294,5.0
1.0,18.0,2.0,20.0,5.08235294117647,5.0
2.0,18.0,3.0,19.0,3.388235294117647,5.0
