l_l_m,l_l_n,u_r_m,u_r_n,avg_sal,sal_state
3.0,3.0,7.0,8.0,2499.5315686274507,1.0
2.0,0.0,3.0,9.0,1668.7215686274508,2.0
3.0,0.0,7.0,3.0,2139.3679738562096,2.0
7.0,0.0,8.0,9.0,1799.6344226579522,2.0
3.0,8.0,7.0,9.0,1848.4205882352944,2.0
2.0,17.0,8.0,20.0,1961.588017429194,1.0
1.0,2.0,2.0,10.0,420.7598039215686,4.0
2.0,2.0,8.0,10.0,65.45334967320261,4.0
8.0,2.0,9.0,10.0,492.8250000000001,4.0
1.0,0.0,2.0,2.0,218.5980392156863,4.0
2.0,0.0,8.0,2.0,0.0,4.0
8.0,0.0,9.0,2.0,397.47058823529403,4.0
9.0,8.0,10.0,10.0,7.074117647058822,4.0
7.0,10.0,9.0,11.0,85.80653594771242,4.0
0.0,0.0,1.0,3.0,1.0431372549019609,5.0
0.0,3.0,1.0,17.0,5.965266106442576,5.0
0.0,17.0,1.0,20.0,0.0,5.0
1.0,10.0,7.0,18.0,0.8447712418300654,5.0
1.0,18.0,7.0,20.0,0.0,5.0
7.0,11.0,9.0,20.0,1.8823529411764703,5.0
9.0,10.0,10.0,20.0,1.016470588235294,5.0
9.0,0.0,10.0,8.0,1.016470588235294,5.0
