l_l_m,l_l_n,u_r_m,u_r_n,avg_sal,sal_state
2.0,11.0,3.0,12.0,1950.1529411764707,2.0
3.0,11.0,7.0,12.0,2182.6921568627454,2.0
7.0,11.0,8.0,12.0,1670.6705882352942,2.0
1.0,17.0,2.0,19.0,511.3745098039217,2.0
2.0,19.0,3.0,20.0,1753.521568627451,2.0
3.0,19.0,7.0,20.0,2058.729411764706,2.0
7.0,19.0,8.0,20.0,1570.9843137254904,2.0
3.0,2.0,7.0,5.0,2512.671568627451,1.0
2.0,9.0,3.0,11.0,1683.6156862745095,1.0
3.0,9.0,7.0,11.0,2492.3897058823527,1.0
7.0,9.0,8.0,11.0,1965.5274509803921,1.0
2.0,12.0,3.0,16.0,2021.8666666666666,1.0
3.0,12.0,7.0,16.0,2477.304411764706,1.0
7.0,12.0,8.0,16.0,1765.0950980392156,1.0
2.0,16.0,3.0,19.0,2122.152941176471,1.0
3.0,16.0,7.0,19.0,2472.3529411764707,1.0
7.0,16.0,8.0,19.0,1240.972549019608,1.0
2.0,3.0,3.0,9.0,1526.2444444444445,2.0
2.0,0.0,3.0,3.0,1610.3189542483665,2.0
7.0,3.0,8.0,9.0,1822.451633986928,2.0
7.0,0.0,8.0,3.0,1795.539869281046,2.0
3.0,0.0,7.0,2.0,2097.2975490196077,2.0
3.0,5.0,7.0,9.0,2320.3696078431376,2.0
1.0,7.0,2.0,13.0,91.07581699346407,4.0
1.0,1.0,2.0,7.0,209.95490196078438,4.0
1.0,0.0,2.0,1.0,221.25882352941173,4.0
8.0,0.0,10.0,6.0,76.08888888888889,5.0
8.0,6.0,10.0,14.0,40.79509803921569,5.0
8.0,14.0,10.0,20.0,10.816666666666665,5.0
0.0,0.0,1.0,6.0,0.2784313725490196,5.0
0.0,6.0,1.0,14.0,0.0,5.0
0.0,14.0,1.0,20.0,0.0,5.0
1.0,13.0,2.0,17.0,5.08235294117647,5.0
1.0,19.0,2.0,20.0,5.08235294117647,5.0
