l_l_m,l_l_n,u_r_m,u_r_n,avg_sal,sal_state
7.0,4.0,9.0,5.0,1376.2196078431373,2.0
2.0,6.0,3.0,12.0,1623.5267973856207,2.0
2.0,5.0,3.0,6.0,1183.7764705882353,2.0
4.0,13.0,5.0,19.0,1900.613071895425,2.0
5.0,13.0,7.0,19.0,1899.1866013071897,2.0
7.0,13.0,8.0,19.0,1425.5385620915033,2.0
2.0,19.0,3.0,20.0,1708.3450980392154,2.0
3.0,5.0,4.0,9.0,1988.6598039215687,1.0
3.0,9.0,4.0,15.0,2169.95751633987,1.0
3.0,15.0,4.0,19.0,1924.0127450980397,1.0
4.0,5.0,5.0,6.0,1658.7725490196078,1.0
5.0,5.0,7.0,6.0,2115.664705882353,1.0
7.0,5.0,8.0,6.0,2073.9254901960785,1.0
4.0,6.0,5.0,12.0,2321.638562091504,1.0
5.0,6.0,7.0,12.0,2450.133333333333,1.0
7.0,6.0,8.0,12.0,1959.8666666666668,1.0
4.0,12.0,5.0,13.0,2329.882352941177,1.0
5.0,12.0,7.0,13.0,2349.592156862745,1.0
7.0,12.0,8.0,13.0,1764.7215686274508,1.0
2.0,12.0,3.0,18.0,2042.4000000000005,1.0
2.0,18.0,3.0,19.0,1825.23137254902,1.0
2.0,0.0,4.0,2.0,1762.0166666666669,1.0
1.0,2.0,2.0,3.0,1311.8196078431372,2.0
2.0,2.0,3.0,4.0,1379.405882352941,2.0
7.0,1.0,8.0,2.0,1544.7490196078436,2.0
5.0,2.0,7.0,4.0,1046.8872549019607,2.0
7.0,2.0,9.0,4.0,1536.1715686274508,2.0
4.0,0.0,7.0,2.0,552.9260504201682,4.0
9.0,0.0,10.0,5.0,62.04094117647061,4.0
3.0,2.0,5.0,3.0,66.641568627451,4.0
7.0,0.0,8.0,1.0,148.69607843137254,4.0
8.0,0.0,9.0,2.0,107.72091503267977,4.0
0.0,0.0,1.0,5.0,588.8188235294118,4.0
1.0,0.0,2.0,2.0,486.30686274509804,4.0
2.0,4.0,6.0,5.0,999.4784313725487,4.0
6.0,4.0,7.0,5.0,1713.7254901960782,4.0
4.0,3.0,5.0,4.0,71.10509803921569,4.0
3.0,19.0,7.0,20.0,1279.6970588235295,4.0
7.0,19.0,8.0,20.0,1012.8823529411766,4.0
8.0,5.0,9.0,6.0,946.2980392156862,4.0
8.0,6.0,9.0,12.0,806.7385620915035,4.0
8.0,12.0,9.0,14.0,620.0039215686274,4.0
1.0,6.0,2.0,10.0,468.6401960784314,4.0
1.0,10.0,2.0,16.0,576.502614379085,4.0
1.0,16.0,2.0,20.0,802.4382352941175,4.0
-0.0,18.0,1.0,20.0,517.2470588235294,4.0
1.0,3.0,2.0,6.0,372.3470588235294,4.0
9.0,5.0,10.0,8.0,261.4732026143791,5.0
9.0,8.0,10.0,16.0,150.12401960784314,5.0
9.0,16.0,10.0,20.0,258.46372549019605,5.0
8.0,14.0,9.0,20.0,199.34444444444443,5.0
0.0,5.0,1.0,7.0,268.90000000000003,5.0
0.0,7.0,1.0,15.0,199.8647058823529,5.0
0.0,15.0,1.0,18.0,350.80522875817,5.0
3.0,3.0,4.0,4.0,2.541176470588235,5.0
