l_l_m,l_l_n,u_r_m,u_r_n,avg_sal,sal_state
8.0,2.0,9.0,3.0,523.7921568627452,2.0
2.0,4.0,3.0,8.0,1698.5588235294117,1.0
3.0,4.0,7.0,8.0,2388.250735294118,1.0
7.0,4.0,8.0,8.0,1271.729411764706,1.0
2.0,0.0,3.0,4.0,1304.5764705882352,1.0
3.0,0.0,7.0,4.0,2217.786274509804,1.0
7.0,0.0,8.0,4.0,1922.4970588235294,1.0
2.0,10.0,6.0,14.0,2250.1850490196084,1.0
6.0,10.0,7.0,14.0,1925.4941176470588,1.0
2.0,14.0,6.0,16.0,2229.176960784314,1.0
6.0,14.0,7.0,16.0,1909.8549019607847,1.0
1.0,6.0,2.0,7.0,703.9333333333333,2.0
1.0,7.0,2.0,13.0,957.340522875817,2.0
1.0,13.0,2.0,15.0,644.1960784313726,2.0
2.0,8.0,4.0,10.0,1558.170588235294,2.0
4.0,8.0,5.0,9.0,1576.6196078431376,2.0
5.0,8.0,7.0,9.0,1600.664705882353,2.0
7.0,8.0,8.0,9.0,1135.0588235294115,2.0
7.0,10.0,8.0,16.0,1021.375816993464,2.0
7.0,16.0,8.0,20.0,1782.5676470588235,2.0
1.0,16.0,2.0,17.0,745.0352941176469,2.0
2.0,16.0,6.0,20.0,1772.0825980392158,2.0
6.0,16.0,7.0,20.0,1931.9029411764707,2.0
8.0,4.0,9.0,10.0,778.2143790849674,4.0
8.0,3.0,9.0,4.0,722.4352941176469,4.0
4.0,9.0,5.0,10.0,995.5960784313727,4.0
5.0,9.0,7.0,10.0,999.2313725490196,4.0
7.0,9.0,8.0,10.0,711.8823529411764,4.0
8.0,0.0,9.0,2.0,1.1294117647058823,5.0
9.0,0.0,10.0,6.0,382.4784313725489,5.0
9.0,6.0,10.0,14.0,239.69754901960786,5.0
9.0,14.0,10.0,20.0,327.54705882352937,5.0
8.0,10.0,9.0,16.0,519.364705882353,5.0
8.0,16.0,9.0,20.0,844.2186274509802,5.0
0.0,0.0,1.0,6.0,245.03921568627456,5.0
0.0,6.0,1.0,14.0,314.59705882352944,5.0
0.0,14.0,1.0,20.0,333.86209150326795,5.0
1.0,0.0,2.0,6.0,629.5431372549019,5.0
1.0,15.0,2.0,16.0,5.08235294117647,5.0
1.0,17.0,2.0,20.0,5.08235294117647,5.0
