l_l_m,l_l_n,u_r_m,u_r_n,avg_sal,sal_state
7.0,6.0,8.0,12.0,1219.7013071895426,2.0
7.0,0.0,8.0,6.0,1541.2522875816994,2.0
1.0,8.0,2.0,10.0,915.3254901960784,2.0
2.0,13.0,4.0,14.0,1568.021568627451,2.0
2.0,9.0,6.0,13.0,2223.8139705882354,1.0
2.0,5.0,6.0,9.0,2207.459803921569,1.0
2.0,1.0,6.0,5.0,2184.8549019607844,1.0
2.0,0.0,6.0,1.0,2217.053921568628,1.0
6.0,6.0,7.0,12.0,1943.824183006536,1.0
6.0,0.0,7.0,6.0,2032.4647058823525,1.0
3.0,16.0,5.0,17.0,2249.03137254902,1.0
2.0,16.0,3.0,17.0,2289.894117647059,1.0
1.0,15.0,2.0,20.0,982.0988235294117,2.0
3.0,15.0,5.0,16.0,1078.641176470588,2.0
2.0,15.0,3.0,16.0,1952.2,2.0
5.0,16.0,6.0,17.0,1552.1960784313724,2.0
7.0,19.0,8.0,20.0,1307.2470588235294,2.0
2.0,17.0,6.0,20.0,2159.6088235294123,2.0
6.0,17.0,7.0,20.0,1513.9019607843134,2.0
1.0,10.0,2.0,15.0,381.398431372549,4.0
2.0,14.0,4.0,15.0,281.83529411764715,4.0
4.0,13.0,5.0,15.0,667.8274509803922,4.0
5.0,13.0,7.0,15.0,712.4656862745102,4.0
7.0,13.0,8.0,15.0,703.6019607843139,4.0
6.0,12.0,8.0,13.0,863.5470588235294,4.0
8.0,12.0,9.0,13.0,63.976470588235294,4.0
-0.0,12.0,1.0,18.0,188.1300653594772,4.0
0.0,0.0,1.0,1.0,267.3411764705882,4.0
1.0,2.0,2.0,8.0,609.2143790849674,4.0
1.0,0.0,2.0,2.0,616.3607843137256,4.0
5.0,15.0,6.0,16.0,117.2666666666667,4.0
7.0,15.0,8.0,19.0,65.80882352941177,4.0
6.0,15.0,7.0,17.0,120.67507002801122,4.0
8.0,3.0,9.0,9.0,301.03398692810464,4.0
8.0,0.0,9.0,3.0,351.5830065359477,4.0
9.0,0.0,10.0,6.0,0.4967320261437908,5.0
9.0,6.0,10.0,14.0,0.0,5.0
9.0,14.0,10.0,20.0,0.0,5.0
8.0,13.0,9.0,19.0,16.9359477124183,5.0
8.0,19.0,9.0,20.0,265.71764705882356,5.0
8.0,9.0,9.0,12.0,1.1294117647058823,5.0
0.0,4.0,1.0,12.0,194.92303921568632,5.0
0.0,1.0,1.0,4.0,191.80522875817002,5.0
-0.0,18.0,1.0,20.0,10.16470588235294,5.0
