l_l_m,l_l_n,u_r_m,u_r_n,avg_sal,sal_state
7.0,6.0,8.0,7.0,1014.407843137255,2.0
7.0,7.0,8.0,11.0,1162.8950980392156,2.0
7.0,11.0,8.0,13.0,1179.1647058823528,2.0
2.0,6.0,3.0,8.0,2249.4529411764706,1.0
3.0,6.0,5.0,8.0,2085.9725490196083,1.0
5.0,6.0,7.0,8.0,1955.6245098039221,1.0
2.0,8.0,3.0,10.0,2224.0156862745102,1.0
3.0,8.0,5.0,10.0,2469.791176470588,1.0
5.0,8.0,7.0,10.0,2506.280392156863,1.0
2.0,10.0,3.0,12.0,2223.198039215686,1.0
3.0,10.0,5.0,12.0,2483.935294117648,1.0
5.0,10.0,7.0,12.0,2472.008823529412,1.0
2.0,12.0,3.0,13.0,2318.368627450981,1.0
3.0,12.0,5.0,13.0,2299.6725490196077,1.0
5.0,12.0,7.0,13.0,2159.698039215686,1.0
2.0,14.0,4.0,16.0,1919.6735294117648,1.0
1.0,5.0,2.0,7.0,642.150980392157,2.0
2.0,5.0,3.0,6.0,1090.4274509803922,2.0
2.0,13.0,4.0,14.0,2175.9117647058824,2.0
5.0,13.0,7.0,15.0,1649.4725490196079,2.0
4.0,13.0,5.0,15.0,2000.53137254902,2.0
4.0,15.0,5.0,16.0,618.0509803921569,2.0
1.0,14.0,2.0,17.0,562.7607843137254,2.0
2.0,16.0,3.0,17.0,92.78039215686272,2.0
8.0,2.0,10.0,6.0,1039.332843137255,4.0
8.0,0.0,10.0,2.0,667.4911764705882,4.0
8.0,6.0,9.0,8.0,67.70544662309368,4.0
4.0,5.0,6.0,6.0,302.56470588235294,4.0
3.0,5.0,4.0,6.0,588.4784313725489,4.0
6.0,4.0,7.0,6.0,77.05126050420171,4.0
7.0,2.0,8.0,6.0,959.6784313725486,4.0
7.0,1.0,8.0,2.0,123.53333333333332,4.0
7.0,13.0,8.0,16.0,88.49885620915033,4.0
8.0,13.0,9.0,17.0,697.6931372549019,4.0
9.0,14.0,10.0,18.0,737.8813725490195,4.0
9.0,18.0,10.0,20.0,643.8843137254903,4.0
1.0,7.0,2.0,8.0,727.8862745098038,4.0
1.0,8.0,2.0,12.0,701.8882352941174,4.0
1.0,12.0,2.0,14.0,668.4137254901963,4.0
0.0,4.0,1.0,8.0,2.9401960784313728,5.0
0.0,0.0,1.0,4.0,0.0,5.0
0.0,8.0,1.0,12.0,9.883333333333333,5.0
0.0,12.0,1.0,16.0,0.0,5.0
0.0,16.0,1.0,20.0,0.0,5.0
4.0,1.0,6.0,5.0,0.0,5.0
2.0,1.0,4.0,5.0,1.5151960784313725,5.0
1.0,1.0,2.0,5.0,34.61470588235295,5.0
4.0,0.0,6.0,1.0,0.0,5.0
2.0,0.0,4.0,1.0,0.0,5.0
1.0,0.0,2.0,1.0,0.0,5.0
2.0,17.0,4.0,19.0,0.0,5.0
1.0,17.0,2.0,19.0,0.0,5.0
4.0,17.0,6.0,19.0,0.0,5.0
6.0,17.0,8.0,19.0,0.0,5.0
8.0,17.0,9.0,19.0,2.7294117647058824,5.0
2.0,19.0,4.0,20.0,0.0,5.0
1.0,19.0,2.0,20.0,0.0,5.0
4.0,19.0,6.0,20.0,0.0,5.0
6.0,19.0,8.0,20.0,0.0,5.0
8.0,19.0,9.0,20.0,1.4549019607843137,5.0
3.0,16.0,4.0,17.0,0.4588235294117647,5.0
4.0,16.0,6.0,17.0,0.0,5.0
6.0,16.0,8.0,17.0,0.0,5.0
5.0,15.0,7.0,16.0,138.71372549019608,5.0
7.0,0.0,8.0,1.0,1.2705882352941176,5.0
6.0,0.0,7.0,4.0,0.0,5.0
9.0,6.0,10.0,8.0,259.1686274509804,5.0
9.0,8.0,10.0,12.0,116.10196078431372,5.0
9.0,12.0,10.0,14.0,214.67843137254903,5.0
8.0,8.0,9.0,12.0,425.65882352941185,5.0
8.0,12.0,9.0,13.0,471.6156862745098,5.0
