l_l_m,l_l_n,u_r_m,u_r_n,avg_sal,sal_state
8.0,13.0,9.0,14.0,626.8313725490194,2.0
1.0,17.0,2.0,18.0,193.89803921568625,2.0
4.0,4.0,6.0,6.0,1994.676470588236,1.0
6.0,4.0,7.0,6.0,2143.7235294117645,1.0
4.0,7.0,6.0,9.0,2168.6107843137256,1.0
6.0,7.0,7.0,9.0,2384.0705882352945,1.0
2.0,10.0,4.0,12.0,1504.0411764705884,1.0
4.0,10.0,6.0,12.0,2460.401960784314,1.0
6.0,10.0,8.0,12.0,2222.7627450980394,1.0
2.0,12.0,4.0,14.0,1770.7578431372553,1.0
4.0,12.0,6.0,14.0,2322.200980392157,1.0
6.0,12.0,8.0,14.0,2183.6401960784315,1.0
2.0,14.0,4.0,16.0,1916.1372549019607,1.0
4.0,14.0,6.0,16.0,2305.2754901960793,1.0
6.0,14.0,8.0,16.0,2091.044117647059,1.0
2.0,16.0,4.0,18.0,1917.1607843137256,1.0
4.0,16.0,6.0,18.0,1812.911764705883,1.0
6.0,16.0,8.0,18.0,1546.3215686274511,1.0
7.0,6.0,8.0,10.0,2114.5411764705887,2.0
7.0,2.0,8.0,6.0,2056.7127450980397,2.0
7.0,0.0,8.0,2.0,1146.8156862745095,2.0
8.0,8.0,9.0,12.0,1103.9127450980393,2.0
8.0,4.0,9.0,8.0,1222.156862745098,2.0
8.0,0.0,9.0,4.0,1181.121568627451,2.0
3.0,7.0,4.0,10.0,1376.2967320261441,2.0
4.0,6.0,6.0,7.0,1301.8078431372548,2.0
6.0,6.0,7.0,7.0,1792.5372549019608,2.0
3.0,3.0,4.0,6.0,1046.1372549019611,2.0
4.0,3.0,5.0,4.0,1470.3960784313724,2.0
5.0,2.0,7.0,4.0,1632.2705882352939,2.0
4.0,9.0,6.0,10.0,2065.2058823529414,2.0
6.0,9.0,7.0,10.0,2225.3960784313726,2.0
2.0,2.0,3.0,6.0,267.52156862745096,4.0
2.0,0.0,3.0,2.0,123.6,4.0
3.0,1.0,5.0,3.0,895.2166666666666,4.0
3.0,0.0,5.0,1.0,622.0235294117648,4.0
5.0,0.0,7.0,2.0,918.9411764705881,4.0
0.0,6.0,2.0,10.0,84.00980392156866,5.0
0.0,2.0,2.0,6.0,0.0,5.0
0.0,0.0,2.0,2.0,0.0,5.0
2.0,6.0,3.0,10.0,548.0490196078431,5.0
3.0,6.0,4.0,7.0,2.541176470588235,5.0
9.0,6.0,10.0,10.0,254.15980392156865,5.0
9.0,2.0,10.0,6.0,333.1705882352942,5.0
9.0,0.0,10.0,2.0,328.26666666666665,5.0
0.0,10.0,1.0,14.0,7.447058823529412,5.0
0.0,14.0,1.0,18.0,0.06862745098039216,5.0
0.0,18.0,1.0,20.0,0.0,5.0
1.0,10.0,2.0,14.0,350.4549019607843,5.0
1.0,14.0,2.0,17.0,336.31372549019613,5.0
3.0,18.0,5.0,20.0,0.4696078431372548,5.0
1.0,18.0,3.0,20.0,18.750980392156862,5.0
9.0,10.0,10.0,14.0,100.53529411764706,5.0
9.0,14.0,10.0,18.0,5.684313725490195,5.0
9.0,18.0,10.0,20.0,70.17058823529412,5.0
5.0,18.0,7.0,20.0,78.76176470588234,5.0
7.0,18.0,8.0,20.0,475.50196078431367,5.0
8.0,13.0,9.0,17.0,296.1549019607843,5.0
8.0,17.0,9.0,20.0,151.24313725490194,5.0
8.0,12.0,9.0,13.0,1.1294117647058823,5.0
