l_l_m,l_l_n,u_r_m,u_r_n,avg_sal,sal_state
2.0,19.0,3.0,20.0,667.1137254901962,2.0
3.0,3.0,4.0,5.0,2279.2588235294115,1.0
4.0,3.0,6.0,5.0,2386.589215686275,1.0
6.0,3.0,8.0,5.0,2349.4882352941177,1.0
3.0,1.0,4.0,3.0,2289.405882352941,1.0
4.0,1.0,6.0,3.0,2341.688235294117,1.0
6.0,1.0,8.0,3.0,2320.1196078431376,1.0
3.0,8.0,4.0,9.0,2407.6274509803925,1.0
4.0,8.0,6.0,9.0,2560.707843137255,1.0
6.0,8.0,7.0,9.0,2495.4980392156867,1.0
3.0,9.0,4.0,11.0,2315.707843137255,1.0
4.0,9.0,6.0,11.0,2510.303921568628,1.0
6.0,9.0,7.0,11.0,2471.292156862745,1.0
3.0,11.0,4.0,12.0,2201.690196078432,1.0
4.0,11.0,6.0,12.0,2439.833333333334,1.0
6.0,11.0,7.0,12.0,2467.3529411764707,1.0
3.0,16.0,4.0,18.0,1926.0725490196078,1.0
4.0,16.0,6.0,18.0,2312.0019607843133,1.0
6.0,16.0,7.0,18.0,2300.307843137255,1.0
3.0,18.0,4.0,20.0,2163.398039215687,1.0
4.0,18.0,6.0,20.0,2433.5264705882355,1.0
6.0,18.0,7.0,20.0,2448.249019607844,1.0
3.0,0.0,4.0,1.0,1338.7411764705882,2.0
4.0,0.0,6.0,1.0,1787.1803921568628,2.0
6.0,0.0,8.0,1.0,2223.6274509803925,2.0
8.0,0.0,9.0,2.0,553.7843137254902,2.0
2.0,9.0,3.0,13.0,991.3058823529412,2.0
2.0,5.0,3.0,9.0,927.3264705882353,2.0
2.0,1.0,3.0,5.0,1078.722549019608,2.0
3.0,5.0,5.0,8.0,1894.5503267973852,2.0
5.0,5.0,7.0,8.0,2143.1895424836607,2.0
7.0,5.0,9.0,8.0,1395.4352941176471,2.0
8.0,13.0,9.0,17.0,947.6254901960783,2.0
8.0,17.0,9.0,20.0,914.5058823529413,2.0
2.0,14.0,3.0,15.0,936.7803921568628,2.0
3.0,12.0,5.0,14.0,1812.1333333333332,2.0
3.0,14.0,5.0,15.0,1691.7980392156867,2.0
5.0,12.0,7.0,16.0,1957.0980392156866,2.0
7.0,8.0,8.0,12.0,2130.917647058824,2.0
7.0,12.0,8.0,16.0,2128.3617647058827,2.0
7.0,16.0,8.0,20.0,2246.2676470588235,2.0
1.0,5.0,2.0,8.0,170.2496732026144,4.0
1.0,8.0,2.0,12.0,205.1362745098039,4.0
1.0,12.0,2.0,16.0,118.29215686274509,4.0
2.0,13.0,3.0,14.0,201.88888888888889,4.0
3.0,15.0,5.0,16.0,564.7725490196078,4.0
2.0,15.0,3.0,16.0,86.4313725490196,4.0
2.0,16.0,3.0,19.0,94.26753812636166,4.0
0.0,4.0,1.0,8.0,0.2333333333333333,5.0
0.0,0.0,1.0,4.0,0.0,5.0
0.0,8.0,1.0,12.0,5.013725490196078,5.0
0.0,12.0,1.0,16.0,0.0,5.0
0.0,16.0,1.0,20.0,0.0,5.0
1.0,1.0,2.0,5.0,8.772549019607844,5.0
1.0,0.0,2.0,1.0,2.9450980392156865,5.0
1.0,16.0,2.0,20.0,0.0,5.0
2.0,0.0,3.0,1.0,3.388235294117647,5.0
9.0,4.0,10.0,8.0,0.7627450980392158,5.0
9.0,0.0,10.0,4.0,0.06470588235294117,5.0
9.0,8.0,10.0,12.0,14.639215686274508,5.0
9.0,12.0,10.0,16.0,1.9862745098039216,5.0
9.0,16.0,10.0,20.0,17.971568627450985,5.0
8.0,8.0,9.0,12.0,462.4941176470589,5.0
8.0,12.0,9.0,13.0,488.5137254901962,5.0
8.0,2.0,9.0,5.0,1.1294117647058823,5.0
