l_l_m,l_l_n,u_r_m,u_r_n,avg_sal,sal_state
3.0,5.0,4.0,9.0,1045.464705882353,2.0
3.0,4.0,4.0,5.0,934.4392156862745,2.0
4.0,6.0,5.0,10.0,1744.6274509803925,1.0
5.0,6.0,7.0,10.0,2218.835784313725,1.0
7.0,6.0,8.0,10.0,2174.164705882353,1.0
4.0,3.0,5.0,6.0,1507.8117647058825,1.0
5.0,3.0,7.0,6.0,1970.5823529411769,1.0
7.0,3.0,8.0,6.0,2146.3215686274507,1.0
8.0,9.0,9.0,13.0,1300.4303921568626,2.0
8.0,5.0,9.0,9.0,1420.950980392157,2.0
8.0,1.0,9.0,5.0,1338.7117647058826,2.0
8.0,0.0,9.0,1.0,1039.721568627451,2.0
6.0,10.0,7.0,11.0,678.4823529411765,2.0
7.0,10.0,8.0,12.0,1066.8843137254905,2.0
6.0,2.0,7.0,3.0,458.4196078431372,2.0
7.0,1.0,8.0,3.0,939.650980392157,2.0
7.0,12.0,8.0,16.0,884.9274509803923,2.0
7.0,16.0,8.0,17.0,482.44705882352935,2.0
9.0,16.0,10.0,19.0,597.5790849673202,2.0
2.0,0.0,4.0,1.0,912.1509803921567,2.0
4.0,0.0,6.0,1.0,1058.4,2.0
6.0,0.0,8.0,1.0,983.5333333333333,2.0
8.0,13.0,9.0,17.0,1307.292156862745,2.0
8.0,17.0,9.0,19.0,545.6117647058824,2.0
9.0,2.0,10.0,6.0,431.57745098039214,4.0
9.0,0.0,10.0,2.0,755.8333333333335,4.0
9.0,6.0,10.0,10.0,480.4500000000001,4.0
9.0,10.0,10.0,14.0,631.7049019607844,4.0
9.0,14.0,10.0,16.0,908.8117647058824,4.0
2.0,1.0,3.0,2.0,608.8666666666667,4.0
3.0,1.0,5.0,2.0,822.6,4.0
5.0,1.0,7.0,2.0,834.1254901960783,4.0
3.0,9.0,4.0,11.0,118.90637254901958,4.0
4.0,10.0,6.0,11.0,645.0235294117648,4.0
5.0,11.0,7.0,12.0,375.92745098039217,4.0
4.0,2.0,6.0,3.0,569.9882352941175,4.0
3.0,2.0,4.0,3.0,423.72156862745095,4.0
2.0,3.0,3.0,6.0,74.38213507625272,4.0
3.0,3.0,4.0,4.0,202.92647058823533,4.0
8.0,19.0,10.0,20.0,753.4196078431372,4.0
0.0,6.0,2.0,10.0,0.0,5.0
0.0,2.0,2.0,6.0,0.0,5.0
0.0,0.0,2.0,2.0,0.4754901960784314,5.0
2.0,2.0,3.0,3.0,3.388235294117647,5.0
2.0,6.0,3.0,10.0,80.85098039215686,5.0
1.0,10.0,3.0,14.0,5.531372549019609,5.0
0.0,10.0,1.0,14.0,0.0,5.0
1.0,14.0,3.0,18.0,0.0,5.0
0.0,14.0,1.0,18.0,0.0,5.0
1.0,18.0,3.0,20.0,0.0,5.0
0.0,18.0,1.0,20.0,0.0,5.0
3.0,11.0,5.0,13.0,0.5333333333333334,5.0
3.0,13.0,5.0,15.0,0.0,5.0
3.0,15.0,5.0,17.0,0.0,5.0
3.0,17.0,5.0,19.0,0.0,5.0
3.0,19.0,5.0,20.0,0.029411764705882356,5.0
5.0,12.0,7.0,16.0,58.187745098039215,5.0
5.0,16.0,7.0,20.0,16.347058823529412,5.0
7.0,17.0,8.0,20.0,1.2705882352941176,5.0
