l_l_m,l_l_n,u_r_m,u_r_n,avg_sal,sal_state
2.0,14.0,3.0,16.0,72.75490196078431,2.0
3.0,9.0,4.0,11.0,2496.8372549019605,1.0
4.0,9.0,6.0,11.0,2447.366666666667,1.0
6.0,9.0,7.0,11.0,2174.139215686275,1.0
3.0,7.0,4.0,9.0,2437.650980392157,1.0
4.0,7.0,6.0,9.0,2538.310784313725,1.0
6.0,7.0,7.0,9.0,2241.856862745098,1.0
3.0,17.0,4.0,19.0,2122.8254901960777,1.0
4.0,17.0,6.0,19.0,2565.4205882352944,1.0
6.0,17.0,7.0,19.0,2540.9,1.0
3.0,19.0,4.0,20.0,1612.5137254901958,1.0
4.0,19.0,6.0,20.0,2334.9156862745103,1.0
6.0,19.0,7.0,20.0,2490.509803921569,1.0
1.0,3.0,3.0,7.0,1305.4955882352942,2.0
3.0,4.0,4.0,7.0,1620.0915032679736,2.0
4.0,5.0,6.0,7.0,1835.0156862745096,2.0
6.0,5.0,7.0,7.0,1244.507843137255,2.0
7.0,7.0,8.0,11.0,1529.3127450980396,2.0
7.0,6.0,8.0,7.0,1305.1960784313726,2.0
7.0,11.0,8.0,15.0,1977.0460784313727,2.0
7.0,15.0,8.0,19.0,2096.146078431373,2.0
7.0,19.0,8.0,20.0,2261.137254901961,2.0
8.0,12.0,9.0,16.0,794.1882352941177,2.0
8.0,16.0,9.0,20.0,1318.5323529411767,2.0
4.0,16.0,6.0,17.0,1278.421568627451,2.0
3.0,16.0,4.0,17.0,774.4039215686274,2.0
4.0,13.0,6.0,15.0,942.2666666666668,2.0
3.0,13.0,4.0,15.0,414.4,2.0
4.0,15.0,6.0,16.0,1478.2901960784313,2.0
3.0,15.0,4.0,16.0,1409.592156862745,2.0
2.0,7.0,3.0,8.0,1708.7294117647061,2.0
2.0,8.0,3.0,12.0,1709.2196078431373,2.0
2.0,12.0,3.0,13.0,1115.521568627451,2.0
6.0,11.0,7.0,15.0,1865.7637254901958,2.0
6.0,15.0,7.0,17.0,1684.466666666667,2.0
4.0,11.0,6.0,13.0,2095.148039215687,2.0
3.0,11.0,4.0,13.0,1973.3117647058825,2.0
4.0,1.0,6.0,2.0,2461.2764705882355,1.0
3.0,1.0,4.0,2.0,1793.466666666667,1.0
4.0,0.0,6.0,1.0,1794.9627450980392,2.0
3.0,0.0,4.0,1.0,1478.1647058823526,2.0
7.0,0.0,9.0,4.0,1320.8411764705882,2.0
4.0,2.0,6.0,3.0,508.49215686274505,2.0
6.0,0.0,7.0,3.0,1935.4366013071897,2.0
0.0,8.0,1.0,12.0,88.01176470588234,4.0
0.0,4.0,1.0,8.0,153.62941176470588,4.0
0.0,3.0,1.0,4.0,79.64313725490196,4.0
1.0,7.0,2.0,8.0,505.2941176470588,4.0
1.0,8.0,2.0,12.0,498.843137254902,4.0
1.0,12.0,2.0,14.0,379.41960784313727,4.0
2.0,13.0,3.0,14.0,24.95947712418301,4.0
1.0,0.0,3.0,3.0,70.2954248366013,5.0
0.0,0.0,1.0,3.0,0.4797385620915033,5.0
9.0,4.0,10.0,8.0,0.0,5.0
9.0,0.0,10.0,4.0,1.7872549019607842,5.0
9.0,8.0,10.0,12.0,0.0,5.0
9.0,12.0,10.0,16.0,0.0,5.0
9.0,16.0,10.0,20.0,4.500980392156864,5.0
3.0,0.0,4.0,4.0,14.404901960784313,5.0
4.0,3.0,6.0,5.0,40.89117647058824,5.0
6.0,3.0,7.0,5.0,2.772549019607843,5.0
4.0,1.0,6.0,3.0,0.0,5.0
6.0,1.0,7.0,3.0,0.0,5.0
4.0,0.0,6.0,1.0,0.0,5.0
6.0,0.0,7.0,1.0,0.0,5.0
7.0,2.0,8.0,6.0,51.97450980392156,5.0
7.0,0.0,8.0,2.0,0.0,5.0
8.0,8.0,9.0,12.0,295.67745098039217,5.0
8.0,4.0,9.0,8.0,113.28823529411764,5.0
8.0,0.0,9.0,4.0,0.0,5.0
0.0,12.0,1.0,16.0,0.7784313725490197,5.0
0.0,16.0,1.0,20.0,0.0,5.0
1.0,14.0,2.0,18.0,0.0,5.0
1.0,18.0,2.0,20.0,0.0,5.0
2.0,16.0,3.0,20.0,52.4578431372549,5.0
