l_l_m,l_l_n,u_r_m,u_r_n,avg_sal,sal_state
3.0,9.0,4.0,10.0,2433.549019607843,1.0
4.0,9.0,6.0,10.0,2557.0117647058823,1.0
6.0,9.0,7.0,10.0,2481.247058823529,1.0
3.0,10.0,4.0,12.0,2501.692156862745,1.0
4.0,10.0,6.0,12.0,2583.3,1.0
6.0,10.0,7.0,12.0,2437.394117647059,1.0
3.0,12.0,4.0,13.0,2478.3607843137256,1.0
4.0,12.0,6.0,13.0,2548.6980392156865,1.0
6.0,12.0,7.0,13.0,2435.007843137255,1.0
2.0,7.0,4.0,8.0,1192.6411764705886,2.0
1.0,7.0,2.0,8.0,633.7137254901961,2.0
7.0,8.0,8.0,9.0,808.6392156862746,2.0
7.0,9.0,8.0,13.0,997.8107843137254,2.0
7.0,13.0,8.0,14.0,670.2980392156862,2.0
1.0,13.0,2.0,15.0,666.0941176470589,2.0
2.0,8.0,3.0,9.0,2299.796078431373,2.0
2.0,9.0,3.0,13.0,2209.0264705882355,2.0
2.0,13.0,3.0,15.0,1710.4176470588236,2.0
3.0,8.0,4.0,9.0,2374.3686274509805,2.0
4.0,8.0,6.0,9.0,2156.141176470588,2.0
6.0,8.0,7.0,9.0,1746.0156862745098,2.0
3.0,13.0,4.0,14.0,2184.145098039216,2.0
4.0,13.0,6.0,14.0,1731.756862745098,2.0
6.0,13.0,7.0,14.0,1269.3098039215683,2.0
7.0,5.0,9.0,8.0,724.6287581699347,4.0
4.0,7.0,6.0,8.0,713.5078431372549,4.0
6.0,6.0,7.0,8.0,74.59747899159666,4.0
8.0,13.0,9.0,16.0,46.225998547567166,4.0
4.0,14.0,6.0,15.0,763.9392156862746,4.0
3.0,14.0,4.0,15.0,734.7019607843138,4.0
6.0,14.0,8.0,16.0,628.9470588235295,4.0
1.0,8.0,2.0,12.0,832.4117647058824,4.0
1.0,12.0,2.0,13.0,817.9411764705882,4.0
0.0,6.0,1.0,10.0,1.2745098039215683,5.0
0.0,2.0,1.0,6.0,0.0,5.0
0.0,0.0,1.0,2.0,0.0,5.0
3.0,3.0,5.0,7.0,0.4053921568627451,5.0
1.0,3.0,3.0,7.0,78.64558823529413,5.0
3.0,0.0,5.0,3.0,0.0,5.0
1.0,0.0,3.0,3.0,0.0,5.0
5.0,5.0,6.0,7.0,0.3117647058823529,5.0
5.0,3.0,6.0,5.0,0.0,5.0
5.0,1.0,6.0,3.0,0.0,5.0
5.0,0.0,6.0,1.0,0.0,5.0
6.0,2.0,7.0,6.0,0.0,5.0
6.0,0.0,7.0,2.0,0.0,5.0
8.0,8.0,9.0,10.0,1.1294117647058823,5.0
7.0,1.0,9.0,5.0,0.0,5.0
7.0,0.0,9.0,1.0,0.0,5.0
9.0,6.0,10.0,10.0,36.30686274509804,5.0
9.0,2.0,10.0,6.0,0.0,5.0
9.0,0.0,10.0,2.0,0.0,5.0
0.0,10.0,1.0,14.0,6.470588235294117,5.0
0.0,14.0,1.0,18.0,0.0,5.0
0.0,18.0,1.0,20.0,0.0,5.0
3.0,15.0,5.0,19.0,0.10588235294117647,5.0
1.0,15.0,3.0,19.0,34.821078431372555,5.0
3.0,19.0,5.0,20.0,0.0,5.0
1.0,19.0,3.0,20.0,0.0,5.0
8.0,10.0,9.0,13.0,1.1294117647058823,5.0
9.0,10.0,10.0,14.0,29.978431372549014,5.0
9.0,14.0,10.0,18.0,0.0,5.0
9.0,18.0,10.0,20.0,0.0,5.0
5.0,15.0,6.0,17.0,13.576470588235296,5.0
5.0,17.0,6.0,19.0,0.0,5.0
5.0,19.0,6.0,20.0,0.0,5.0
6.0,16.0,8.0,20.0,0.0,5.0
8.0,16.0,9.0,20.0,0.0,5.0
