l_l_m,l_l_n,u_r_m,u_r_n,avg_sal,sal_state
2.0,6.0,3.0,7.0,1214.6078431372548,2.0
2.0,7.0,3.0,11.0,1225.479411764706,2.0
2.0,11.0,3.0,12.0,1259.4705882352941,2.0
3.0,6.0,4.0,8.0,2132.864705882353,1.0
4.0,6.0,6.0,8.0,2386.8931372549027,1.0
6.0,6.0,8.0,8.0,2214.535294117647,1.0
3.0,8.0,4.0,10.0,2326.592156862745,1.0
4.0,8.0,6.0,10.0,2564.8549019607844,1.0
6.0,8.0,8.0,10.0,2196.2656862745102,1.0
3.0,10.0,4.0,12.0,1960.1647058823526,1.0
4.0,10.0,6.0,12.0,2252.895098039216,1.0
6.0,10.0,8.0,12.0,2199.04705882353,1.0
7.0,3.0,8.0,6.0,1154.7725490196076,2.0
8.0,3.0,9.0,7.0,924.3147058823531,2.0
4.0,5.0,6.0,6.0,969.9,2.0
3.0,5.0,4.0,6.0,639.349019607843,2.0
6.0,4.0,7.0,6.0,952.2431372549021,2.0
8.0,11.0,9.0,15.0,840.7794117647059,2.0
6.0,12.0,7.0,13.0,533.8078431372547,2.0
7.0,12.0,8.0,14.0,855.692156862745,2.0
1.0,5.0,2.0,8.0,510.7333333333333,4.0
1.0,8.0,2.0,12.0,552.9588235294117,4.0
1.0,12.0,2.0,15.0,901.6614379084967,4.0
2.0,5.0,3.0,6.0,266.57908496732034,4.0
2.0,12.0,3.0,15.0,230.9032679738562,4.0
3.0,12.0,4.0,14.0,138.7078431372549,4.0
4.0,12.0,6.0,13.0,551.8450980392157,4.0
0.0,6.0,1.0,10.0,53.25490196078432,5.0
0.0,2.0,1.0,6.0,0.0,5.0
0.0,0.0,1.0,2.0,0.0,5.0
3.0,1.0,5.0,5.0,3.8509803921568624,5.0
1.0,1.0,3.0,5.0,2.868627450980392,5.0
3.0,0.0,5.0,1.0,0.0,5.0
1.0,0.0,3.0,1.0,0.0,5.0
5.0,3.0,6.0,5.0,114.14901960784313,5.0
5.0,1.0,6.0,3.0,0.0,5.0
5.0,0.0,6.0,1.0,0.0,5.0
6.0,0.0,7.0,4.0,0.0,5.0
8.0,7.0,9.0,10.0,1.1294117647058823,5.0
7.0,0.0,9.0,3.0,45.215686274509814,5.0
9.0,6.0,10.0,10.0,175.50392156862745,5.0
9.0,2.0,10.0,6.0,283.59313725490193,5.0
9.0,0.0,10.0,2.0,0.0,5.0
0.0,10.0,1.0,14.0,81.60392156862743,5.0
0.0,14.0,1.0,18.0,0.007843137254901959,5.0
0.0,18.0,1.0,20.0,0.0,5.0
1.0,15.0,3.0,19.0,0.0,5.0
1.0,19.0,3.0,20.0,0.0,5.0
3.0,14.0,4.0,18.0,0.0,5.0
3.0,18.0,4.0,20.0,0.0,5.0
4.0,13.0,5.0,15.0,0.6862745098039216,5.0
4.0,15.0,5.0,17.0,0.0,5.0
4.0,17.0,5.0,19.0,0.0,5.0
4.0,19.0,5.0,20.0,0.0,5.0
8.0,10.0,9.0,11.0,1.1294117647058823,5.0
9.0,10.0,10.0,14.0,335.77352941176474,5.0
9.0,14.0,10.0,18.0,10.412745098039217,5.0
9.0,18.0,10.0,20.0,0.0,5.0
5.0,13.0,7.0,17.0,0.0,5.0
5.0,17.0,7.0,20.0,0.0,5.0
7.0,14.0,8.0,18.0,7.986274509803923,5.0
7.0,18.0,8.0,20.0,0.0,5.0
8.0,15.0,9.0,19.0,0.0,5.0
8.0,19.0,9.0,20.0,0.0,5.0
